pkuid,vertex_index,xcoord,ycoord,code,name
100,0,3.614,60.491,VIFS,Viking
100,1,3.674,60.788,VIFS,Viking
100,2,3.647,60.936,VIFS,Viking
100,3,3.635,61.12,VIFS,Viking
100,4,3.73,61.229,VIFS,Viking
100,5,4.012,61.34,VIFS,Viking
100,6,4.183,61.447,VIFS,Viking
100,7,4.225,61.568,VIFS,Viking
200,0,1.833,59.558,VIFS,Viking
200,1,1.659,59.244,VIFS,Viking
200,2,1.358,58.913,VIFS,Viking
200,3,1.208,58.653,VIFS,Viking
200,4,1.215,58.419,VIFS,Viking
200,5,1.296,58.111,VIFS,Viking
300,0,0.777,61.608,VIFS,Viking
300,1,0.733,61.383,VIFS,Viking
300,2,0.733,60.959,VIFS,Viking
300,3,0.907,60.522,VIFS,Viking
300,4,1.229,60.236,VIFS,Viking
300,5,1.413,60.095,VIFS,Viking
300,6,1.475,59.961,VIFS,Viking
300,7,1.36,59.738,VIFS,Viking
300,8,1.287,59.464,VIFS,Viking
300,9,1.372,58.984,VIFS,Viking
400,0,2.507,57.081,VIFS,Viking
400,1,2.293,57.227,VIFS,Viking
400,2,1.876,57.741,VIFS,Viking
400,3,1.915,57.854,VIFS,Viking
400,4,1.804,58.019,VIFS,Viking
400,5,1.997,58.181,VIFS,Viking
400,6,2.017,58.629,VIFS,Viking
400,7,2.254,59.029,VIFS,Viking
400,8,2.294,59.15,VIFS,Viking
400,9,2.236,59.489,VIFS,Viking
400,10,2.329,59.671,VIFS,Viking
400,11,2.3,59.808,VIFS,Viking
400,12,2.278,60.097,VIFS,Viking
400,13,2.846,60.395,VIFS,Viking
400,14,2.952,60.539,VIFS,Viking
400,15,2.902,60.925,VIFS,Viking
500,0,-3.766,57.603,MOFS,Moray
500,1,-3.376,57.682,MOFS,Moray
500,2,-3.126,57.691,MOFS,Moray
500,3,-2.65,57.664,MOFS,Moray
500,4,-2.133,57.659,MOFS,Moray
500,5,-1.696,57.656,MOFS,Moray
500,6,-1.395,57.686,MOFS,Moray
500,7,-0.875,57.769,MOFS,Moray
500,8,-0.368,57.828,MOFS,Moray
500,9,-0.105,57.827,MOFS,Moray
600,0,1.241,58.109,MOFS,Moray
600,1,0.644,58.424,MOFS,Moray
600,2,-0.294,58.595,MOFS,Moray
600,3,-1.055,58.654,MOFS,Moray
600,4,-1.553,58.655,MOFS,Moray
600,5,-1.8,58.65,MOFS,Moray
600,6,-2.176,58.583,MOFS,Moray
600,7,-2.529,58.567,MOFS,Moray
600,8,-2.873,58.495,MOFS,Moray
700,0,10.569,60.763,OSFS,Oslo
700,1,10.394,60.257,OSFS,Oslo
700,2,10.092,60.058,OSFS,Oslo
700,3,9.881,59.756,OSFS,Oslo
700,4,9.592,59.519,OSFS,Oslo
700,5,9.422,59.38,OSFS,Oslo
700,6,9.561,59.214,OSFS,Oslo
700,7,9.653,59.141,OSFS,Oslo
700,8,9.155,58.971,OSFS,Oslo
700,9,8.823,58.777,OSFS,Oslo
700,10,8.549,58.646,OSFS,Oslo
700,11,8.324,58.478,OSFS,Oslo
700,12,8.002,58.119,OSFS,Oslo
700,13,7.387,57.786,OSFS,Oslo
800,0,9.203,57.729,OSFS,Oslo
800,1,9.606,57.862,OSFS,Oslo
800,2,9.899,58.103,OSFS,Oslo
800,3,10.252,58.409,OSFS,Oslo
800,4,10.541,58.759,OSFS,Oslo
800,5,10.702,58.991,OSFS,Oslo
800,6,10.61,59.369,OSFS,Oslo
800,7,10.629,59.901,OSFS,Oslo
800,8,10.949,60.021,OSFS,Oslo
800,9,11.035,60.165,OSFS,Oslo
800,10,11.166,60.383,OSFS,Oslo
800,11,11.151,60.612,OSFS,Oslo
800,12,11.342,60.985,OSFS,Oslo
900,0,4.658,54.03,CEFS,Central
900,1,4.895,54.341,CEFS,Central
900,2,5.05,54.852,CEFS,Central
900,3,5.197,55.056,CEFS,Central
900,4,5.411,55.221,CEFS,Central
900,5,5.484,55.333,CEFS,Central
900,6,5.148,55.676,CEFS,Central
900,7,4.611,56.066,CEFS,Central
900,8,4.565,56.261,CEFS,Central
900,9,4.484,56.548,CEFS,Central
900,10,4.191,56.663,CEFS,Central
900,11,3.759,56.673,CEFS,Central
900,12,3.079,57.009,CEFS,Central
900,13,2.727,57.17,CEFS,Central
1000,0,0.923,57.345,CEFS,Central
1000,1,1.061,57.083,CEFS,Central
1000,2,1.241,56.741,CEFS,Central
1000,3,1.398,56.601,CEFS,Central
1000,4,1.685,56.558,CEFS,Central
1000,5,2.13,56.476,CEFS,Central
1000,6,2.328,56.298,CEFS,Central
1000,7,2.538,56.242,CEFS,Central
1000,8,2.834,56.197,CEFS,Central
1000,9,3.119,55.988,CEFS,Central
1000,10,3.432,55.666,CEFS,Central
1000,11,3.419,55.374,CEFS,Central
1000,12,3.484,55.195,CEFS,Central
1000,13,3.635,55.006,CEFS,Central
1000,14,3.825,54.866,CEFS,Central
1000,15,4.042,54.538,CEFS,Central
1000,16,4.204,54.147,CEFS,Central
1100,0,6.885,56.616,HOFS,Horn
1100,1,6.83,56.038,HOFS,Horn
1100,2,6.947,55.657,HOFS,Horn
1100,3,6.71,55.362,HOFS,Horn
1100,4,6.39,55.015,HOFS,Horn
1100,5,6.256,54.59,HOFS,Horn
1200,0,6.295,54.57,HOFS,Horn
1200,1,6.662,54.711,HOFS,Horn
1200,2,6.839,54.889,HOFS,Horn
1200,3,7.122,55.13,HOFS,Horn
1200,4,7.296,55.306,HOFS,Horn
1200,5,7.495,55.51,HOFS,Horn
1300,0,7.479,55.565,HOFS,Horn
1300,1,7.288,55.989,HOFS,Horn
1300,2,7.351,56.184,HOFS,Horn
1300,3,7.228,56.306,HOFS,Horn
1300,4,7.719,56.86,HOFS,Horn
1400,0,7.615,47.47,URFS,Upper Rhine
1400,1,7.617,47.48,URFS,Upper Rhine
1400,2,7.619,47.503,URFS,Upper Rhine
1400,3,7.621,47.518,URFS,Upper Rhine
1400,4,7.625,47.534,URFS,Upper Rhine
1400,5,7.629,47.543,URFS,Upper Rhine
1400,6,7.632,47.548,URFS,Upper Rhine
1400,7,7.635,47.557,URFS,Upper Rhine
1400,8,7.638,47.563,URFS,Upper Rhine
1400,9,7.641,47.569,URFS,Upper Rhine
1400,10,7.648,47.578,URFS,Upper Rhine
1400,11,7.67,47.613,URFS,Upper Rhine
1400,12,7.675,47.624,URFS,Upper Rhine
1400,13,7.679,47.638,URFS,HOFS
1401,0,7.683,47.647,URFS,HOFS
1401,1,7.685,47.664,URFS,HOFS
1401,2,7.683,47.685,URFS,HOFS
1401,3,7.681,47.694,URFS,HOFS
1401,4,7.68,47.699,URFS,HOFS
1401,5,7.676,47.719,URFS,HOFS
1401,6,7.673,47.732,URFS,HOFS
1401,7,7.671,47.745,URFS,HOFS
1401,8,7.674,47.774,URFS,HOFS
1401,9,7.678,47.796,URFS,HOFS
1401,10,7.681,47.808,URFS,HOFS
1401,11,7.683,47.818,URFS,HOFS
1401,12,7.689,47.831,URFS,HOFS
1401,13,7.689,47.832,URFS,HOFS
1401,14,7.69,47.835,URFS,HOFS
1401,15,7.698,47.849,URFS,HOFS
1401,16,7.707,47.862,URFS,Upper Rhine
