pkuid,vertex_index,xcoord,ycoord,code,name
10,0,28.635,42.591,ADF,Alpine Deformation Front
10,1,27.749,43.162,ADF,Alpine Deformation Front
10,2,27.263,43.305,ADF,Alpine Deformation Front
10,3,26.974,43.317,ADF,Alpine Deformation Front
10,4,26.55,43.251,ADF,Alpine Deformation Front
10,5,26.252,43.126,ADF,Alpine Deformation Front
10,6,25.746,43.099,ADF,Alpine Deformation Front
10,7,25.38,43.195,ADF,Alpine Deformation Front
10,8,25.196,43.185,ADF,Alpine Deformation Front
10,9,24.107,43.187,ADF,Alpine Deformation Front
10,10,23.312,43.198,ADF,Alpine Deformation Front
10,11,23.007,43.29,ADF,Alpine Deformation Front
10,12,22.67,43.519,ADF,Alpine Deformation Front
10,13,22.421,43.655,ADF,Alpine Deformation Front
10,14,22.424,43.673,ADF,Alpine Deformation Front
10,15,22.439,43.744,ADF,Alpine Deformation Front
10,16,22.441,43.753,ADF,Alpine Deformation Front
10,17,22.462,43.83,ADF,Alpine Deformation Front
10,18,22.488,43.911,ADF,Alpine Deformation Front
10,19,22.518,43.988,ADF,Alpine Deformation Front
10,20,22.519,43.99,ADF,Alpine Deformation Front
10,21,22.557,44.072,ADF,Alpine Deformation Front
10,22,22.598,44.144,ADF,Alpine Deformation Front
10,23,22.602,44.15,ADF,Alpine Deformation Front
10,24,22.661,44.23,ADF,Alpine Deformation Front
10,25,22.679,44.248,ADF,Alpine Deformation Front
10,26,22.748,44.311,ADF,Alpine Deformation Front
10,27,22.759,44.319,ADF,Alpine Deformation Front
10,28,22.838,44.371,ADF,Alpine Deformation Front
10,29,22.872,44.39,ADF,Alpine Deformation Front
10,30,22.918,44.413,ADF,Alpine Deformation Front
10,31,22.999,44.447,ADF,Alpine Deformation Front
10,32,23.067,44.47,ADF,Alpine Deformation Front
10,33,23.081,44.475,ADF,Alpine Deformation Front
10,34,23.159,44.497,ADF,Alpine Deformation Front
10,35,23.239,44.516,ADF,Alpine Deformation Front
10,36,23.32,44.533,ADF,Alpine Deformation Front
10,37,23.404,44.548,ADF,Alpine Deformation Front
10,38,23.414,44.55,ADF,Alpine Deformation Front
10,39,23.488,44.562,ADF,Alpine Deformation Front
10,40,23.558,44.572,ADF,Alpine Deformation Front
10,41,23.647,44.584,ADF,Alpine Deformation Front
10,42,23.771,44.6,ADF,Alpine Deformation Front
10,43,23.8,44.604,ADF,Alpine Deformation Front
10,44,23.882,44.615,ADF,Alpine Deformation Front
10,45,23.967,44.627,ADF,Alpine Deformation Front
10,46,23.991,44.631,ADF,Alpine Deformation Front
10,47,24.043,44.639,ADF,Alpine Deformation Front
10,48,24.12,44.653,ADF,Alpine Deformation Front
10,49,24.204,44.669,ADF,Alpine Deformation Front
10,50,24.279,44.682,ADF,Alpine Deformation Front
10,51,24.368,44.697,ADF,Alpine Deformation Front
10,52,24.443,44.709,ADF,Alpine Deformation Front
