pkuid,vertex_index,xcoord,ycoord,code,name
1,0,12.988,52.57,NGB,North German Basin
1,1,13.195,52.65,NGB,North German Basin
1,2,13.497,52.849,NGB,North German Basin
1,3,13.68,52.976,NGB,North German Basin
1,4,13.823,53.119,NGB,North German Basin
1,5,13.91,53.302,NGB,North German Basin
1,6,13.942,53.501,NGB,North German Basin
1,7,13.863,53.66,NGB,North German Basin
1,8,13.68,53.882,NGB,North German Basin
1,9,13.409,54.097,NGB,North German Basin
1,10,13.02,54.383,NGB,North German Basin
1,11,12.813,54.479,NGB,North German Basin
1,12,11.644,54.606,NGB,North German Basin
1,13,11.365,54.654,NGB,North German Basin
1,14,11.063,54.702,NGB,North German Basin
1,15,10.562,54.725,NGB,North German Basin
1,16,8.98,54.821,NGB,North German Basin
1,17,8.073,54.972,NGB,North German Basin
1,18,7.349,55.131,NGB,North German Basin
1,19,6.976,55.179,NGB,North German Basin
1,20,6.721,55.195,NGB,North German Basin
1,21,6.57,55.155,NGB,North German Basin
1,22,5.926,54.781,NGB,North German Basin
1,23,5.608,54.741,NGB,North German Basin
1,24,5.282,54.678,NGB,North German Basin
1,25,5.067,54.543,NGB,North German Basin
1,26,4.9,54.36,NGB,North German Basin
1,27,4.868,54.145,NGB,North German Basin
1,28,5.003,53.922,NGB,North German Basin
1,29,6.427,53.747,NGB,North German Basin
1,30,6.968,53.644,NGB,North German Basin
1,31,7.405,53.509,NGB,North German Basin
1,32,7.858,53.397,NGB,North German Basin
1,33,8.256,53.318,NGB,North German Basin
1,34,9.807,53.127,NGB,North German Basin
1,35,10.085,52.976,NGB,North German Basin
1,36,10.395,52.968,NGB,North German Basin
1,37,11.318,52.872,NGB,North German Basin
1,38,11.859,52.697,NGB,North German Basin
1,39,12.55,52.586,NGB,North German Basin
1,40,12.988,52.57,NGB,North German Basin
2,0,19.473,51.624,MPT,Mid-Polish Trough
2,1,19.672,51.636,MPT,Mid-Polish Trough
2,2,19.903,51.66,MPT,Mid-Polish Trough
2,3,20.01,51.707,MPT,Mid-Polish Trough
2,4,20.062,51.767,MPT,Mid-Polish Trough
2,5,19.831,51.978,MPT,Mid-Polish Trough
2,6,19.684,52.105,MPT,Mid-Polish Trough
2,7,19.517,52.208,MPT,Mid-Polish Trough
2,8,19.179,52.415,MPT,Mid-Polish Trough
2,9,18.893,52.594,MPT,Mid-Polish Trough
2,10,18.714,52.697,MPT,Mid-Polish Trough
2,11,18.519,52.765,MPT,Mid-Polish Trough
2,12,18.034,53.008,MPT,Mid-Polish Trough
2,13,17.93,53.123,MPT,Mid-Polish Trough
2,14,17.549,53.258,MPT,Mid-Polish Trough
2,15,17.469,53.31,MPT,Mid-Polish Trough
2,16,17.231,53.445,MPT,Mid-Polish Trough
2,17,17.079,53.497,MPT,Mid-Polish Trough
2,18,16.885,53.556,MPT,Mid-Polish Trough
2,19,16.419,53.704,MPT,Mid-Polish Trough
2,20,16.3,53.743,MPT,Mid-Polish Trough
2,21,16.097,53.739,MPT,Mid-Polish Trough
2,22,15.902,53.688,MPT,Mid-Polish Trough
2,23,15.791,53.652,MPT,Mid-Polish Trough
2,24,15.501,53.552,MPT,Mid-Polish Trough
2,25,15.366,53.469,MPT,Mid-Polish Trough
2,26,15.441,53.369,MPT,Mid-Polish Trough
2,27,16.002,53.21,MPT,Mid-Polish Trough
2,28,16.336,53.012,MPT,Mid-Polish Trough
2,29,16.455,52.988,MPT,Mid-Polish Trough
2,30,16.626,52.976,MPT,Mid-Polish Trough
2,31,17.099,52.952,MPT,Mid-Polish Trough
2,32,17.33,52.817,MPT,Mid-Polish Trough
2,33,17.592,52.658,MPT,Mid-Polish Trough
2,34,17.441,52.415,MPT,Mid-Polish Trough
2,35,17.211,52.356,MPT,Mid-Polish Trough
2,36,16.936,52.32,MPT,Mid-Polish Trough
2,37,16.9,52.232,MPT,Mid-Polish Trough
2,38,17.008,52.189,MPT,Mid-Polish Trough
2,39,17.366,52.145,MPT,Mid-Polish Trough
2,40,17.529,52.129,MPT,Mid-Polish Trough
2,41,17.883,52.256,MPT,Mid-Polish Trough
2,42,18.268,52.272,MPT,Mid-Polish Trough
2,43,18.384,52.061,MPT,Mid-Polish Trough
2,44,18.475,52.002,MPT,Mid-Polish Trough
2,45,18.889,51.831,MPT,Mid-Polish Trough
2,46,18.972,51.719,MPT,Mid-Polish Trough
2,47,19.103,51.664,MPT,Mid-Polish Trough
2,48,19.473,51.624,MPT,Mid-Polish Trough
3,0,10.964,56.026,NDB,Norwegian-Danish Basin
3,1,11.314,56.034,NDB,Norwegian-Danish Basin
3,2,11.544,56.073,NDB,Norwegian-Danish Basin
3,3,11.632,56.145,NDB,Norwegian-Danish Basin
3,4,11.457,56.224,NDB,Norwegian-Danish Basin
3,5,11.226,56.312,NDB,Norwegian-Danish Basin
3,6,10.853,56.503,NDB,Norwegian-Danish Basin
3,7,10.566,56.582,NDB,Norwegian-Danish Basin
3,8,10.344,56.694,NDB,Norwegian-Danish Basin
3,9,10.017,56.869,NDB,Norwegian-Danish Basin
3,10,9.739,57.02,NDB,Norwegian-Danish Basin
3,11,9.19,57.227,NDB,Norwegian-Danish Basin
3,12,8.658,57.401,NDB,Norwegian-Danish Basin
3,13,8.403,57.473,NDB,Norwegian-Danish Basin
3,14,8.109,57.545,NDB,Norwegian-Danish Basin
3,15,7.449,57.584,NDB,Norwegian-Danish Basin
3,16,7.163,57.592,NDB,Norwegian-Danish Basin
3,17,6.924,57.576,NDB,Norwegian-Danish Basin
3,18,6.733,57.545,NDB,Norwegian-Danish Basin
3,19,6.359,57.123,NDB,Norwegian-Danish Basin
3,20,6.28,56.972,NDB,Norwegian-Danish Basin
3,21,6.423,56.805,NDB,Norwegian-Danish Basin
3,22,6.725,56.749,NDB,Norwegian-Danish Basin
3,23,7.067,56.821,NDB,Norwegian-Danish Basin
3,24,7.711,56.781,NDB,Norwegian-Danish Basin
3,25,8.371,56.614,NDB,Norwegian-Danish Basin
3,26,9.039,56.415,NDB,Norwegian-Danish Basin
3,27,9.389,56.288,NDB,Norwegian-Danish Basin
3,28,10.041,56.113,NDB,Norwegian-Danish Basin
3,29,10.622,56.05,NDB,Norwegian-Danish Basin
3,30,10.964,56.026,NDB,Norwegian-Danish Basin
