pkuid,vertex_index,xcoord,ycoord,code,name
20,0,16.44,50.456,BCB,Bohemian Cretaceous Basin
20,1,16.376,50.48,BCB,Bohemian Cretaceous Basin
20,2,16.329,50.518,BCB,Bohemian Cretaceous Basin
20,3,16.216,50.636,BCB,Bohemian Cretaceous Basin
20,4,16.153,50.69,BCB,Bohemian Cretaceous Basin
20,5,16.124,50.71,BCB,Bohemian Cretaceous Basin
20,6,16.111,50.712,BCB,Bohemian Cretaceous Basin
20,7,16.1,50.713,BCB,Bohemian Cretaceous Basin
20,8,16.091,50.71,BCB,Bohemian Cretaceous Basin
20,9,16.082,50.703,BCB,Bohemian Cretaceous Basin
20,10,16.076,50.694,BCB,Bohemian Cretaceous Basin
20,11,16.034,50.624,BCB,Bohemian Cretaceous Basin
20,12,16.011,50.618,BCB,Bohemian Cretaceous Basin
20,13,15.953,50.587,BCB,Bohemian Cretaceous Basin
20,14,15.863,50.488,BCB,Bohemian Cretaceous Basin
20,15,15.741,50.516,BCB,Bohemian Cretaceous Basin
20,16,15.519,50.49,BCB,Bohemian Cretaceous Basin
20,17,15.499,50.5,BCB,Bohemian Cretaceous Basin
20,18,15.31,50.553,BCB,Bohemian Cretaceous Basin
20,19,15.228,50.623,BCB,Bohemian Cretaceous Basin
20,20,15.204,50.643,BCB,Bohemian Cretaceous Basin
20,21,15.162,50.659,BCB,Bohemian Cretaceous Basin
20,22,14.933,50.746,BCB,Bohemian Cretaceous Basin
20,23,14.872,50.794,BCB,Bohemian Cretaceous Basin
20,24,14.863,50.8,BCB,Bohemian Cretaceous Basin
20,25,14.778,50.851,BCB,Bohemian Cretaceous Basin
20,26,14.767,50.857,BCB,Bohemian Cretaceous Basin
20,27,14.749,50.862,BCB,Bohemian Cretaceous Basin
20,28,14.729,50.865,BCB,Bohemian Cretaceous Basin
20,29,14.709,50.869,BCB,Bohemian Cretaceous Basin
20,30,14.554,50.878,BCB,Bohemian Cretaceous Basin
20,31,14.509,50.911,BCB,Bohemian Cretaceous Basin
20,32,14.499,50.918,BCB,Bohemian Cretaceous Basin
20,33,14.487,50.922,BCB,Bohemian Cretaceous Basin
20,34,14.459,50.925,BCB,Bohemian Cretaceous Basin
20,35,14.434,50.927,BCB,Bohemian Cretaceous Basin
20,36,14.354,50.932,BCB,Bohemian Cretaceous Basin
20,37,14.233,50.942,BCB,Bohemian Cretaceous Basin
20,38,14.142,50.992,BCB,Bohemian Cretaceous Basin
20,39,14.134,50.995,BCB,Bohemian Cretaceous Basin
20,40,14.054,51.01,BCB,Bohemian Cretaceous Basin
20,41,14.043,51.037,BCB,Bohemian Cretaceous Basin
20,42,13.923,51.062,BCB,Bohemian Cretaceous Basin
20,43,13.852,51.098,BCB,Bohemian Cretaceous Basin
20,44,13.836,51.101,BCB,Bohemian Cretaceous Basin
20,45,13.756,51.107,BCB,Bohemian Cretaceous Basin
20,46,13.645,51.116,BCB,Bohemian Cretaceous Basin
20,47,13.61,51.146,BCB,Bohemian Cretaceous Basin
20,48,13.586,51.167,BCB,Bohemian Cretaceous Basin
20,49,13.56,51.187,BCB,Bohemian Cretaceous Basin
20,50,13.537,51.197,BCB,Bohemian Cretaceous Basin
20,51,13.507,51.182,BCB,Bohemian Cretaceous Basin
20,52,13.491,51.17,BCB,Bohemian Cretaceous Basin
20,53,13.563,51.094,BCB,Bohemian Cretaceous Basin
20,54,13.633,51.03,BCB,Bohemian Cretaceous Basin
20,55,13.649,51.011,BCB,Bohemian Cretaceous Basin
20,56,13.661,51.005,BCB,Bohemian Cretaceous Basin
20,57,13.735,50.981,BCB,Bohemian Cretaceous Basin
20,58,13.764,50.966,BCB,Bohemian Cretaceous Basin
20,59,13.794,50.96,BCB,Bohemian Cretaceous Basin
20,60,13.885,50.942,BCB,Bohemian Cretaceous Basin
20,61,13.937,50.893,BCB,Bohemian Cretaceous Basin
20,62,13.946,50.884,BCB,Bohemian Cretaceous Basin
20,63,13.96,50.875,BCB,Bohemian Cretaceous Basin
20,64,14.025,50.84,BCB,Bohemian Cretaceous Basin
20,65,14.016,50.794,BCB,Bohemian Cretaceous Basin
20,66,13.976,50.735,BCB,Bohemian Cretaceous Basin
20,67,13.981,50.695,BCB,Bohemian Cretaceous Basin
20,68,14.001,50.557,BCB,Bohemian Cretaceous Basin
20,69,13.994,50.554,BCB,Bohemian Cretaceous Basin
20,70,13.987,50.55,BCB,Bohemian Cretaceous Basin
20,71,13.925,50.525,BCB,Bohemian Cretaceous Basin
20,72,13.883,50.539,BCB,Bohemian Cretaceous Basin
20,73,13.863,50.538,BCB,Bohemian Cretaceous Basin
20,74,13.845,50.537,BCB,Bohemian Cretaceous Basin
20,75,13.786,50.529,BCB,Bohemian Cretaceous Basin
20,76,13.77,50.523,BCB,Bohemian Cretaceous Basin
20,77,13.751,50.515,BCB,Bohemian Cretaceous Basin
20,78,13.745,50.51,BCB,Bohemian Cretaceous Basin
20,79,13.736,50.502,BCB,Bohemian Cretaceous Basin
20,80,13.723,50.445,BCB,Bohemian Cretaceous Basin
20,81,13.716,50.44,BCB,Bohemian Cretaceous Basin
