pkuid,vertex_index,xcoord,ycoord,code,name
0,0,21.939,42.877,PB,Pannonian Basin
0,1,21.906,42.881,PB,Pannonian Basin
0,2,21.898,42.884,PB,Pannonian Basin
0,3,21.762,42.909,PB,Pannonian Basin
0,4,21.686,42.975,PB,Pannonian Basin
0,5,21.612,43.072,PB,Pannonian Basin
0,6,21.624,43.084,PB,Pannonian Basin
0,7,21.682,43.099,PB,Pannonian Basin
0,8,21.653,43.194,PB,Pannonian Basin
0,9,21.607,43.249,PB,Pannonian Basin
0,10,21.522,43.264,PB,Pannonian Basin
0,11,21.427,43.197,PB,Pannonian Basin
0,12,21.356,43.195,PB,Pannonian Basin
0,13,21.274,43.228,PB,Pannonian Basin
0,14,21.197,43.305,PB,Pannonian Basin
0,15,21.132,43.391,PB,Pannonian Basin
0,16,21.125,43.425,PB,Pannonian Basin
0,17,21.105,43.493,PB,Pannonian Basin
0,18,20.995,43.582,PB,Pannonian Basin
0,19,20.869,43.605,PB,Pannonian Basin
0,20,20.804,43.625,PB,Pannonian Basin
0,21,20.761,43.645,PB,Pannonian Basin
0,22,20.63,43.684,PB,Pannonian Basin
0,23,20.481,43.714,PB,Pannonian Basin
0,24,20.465,43.732,PB,Pannonian Basin
0,25,20.447,43.759,PB,Pannonian Basin
0,26,20.313,43.835,PB,Pannonian Basin
0,27,20.236,43.868,PB,Pannonian Basin
0,28,20.289,43.955,PB,Pannonian Basin
0,29,20.299,43.961,PB,Pannonian Basin
0,30,20.368,43.96,PB,Pannonian Basin
0,31,20.382,43.946,PB,Pannonian Basin
0,32,20.43,43.962,PB,Pannonian Basin
0,33,20.458,44.055,PB,Pannonian Basin
0,34,20.518,44.045,PB,Pannonian Basin
0,35,20.594,44.036,PB,Pannonian Basin
0,36,20.672,44.078,PB,Pannonian Basin
0,37,20.723,44.192,PB,Pannonian Basin
0,38,20.714,44.265,PB,Pannonian Basin
0,39,20.57,44.304,PB,Pannonian Basin
0,40,20.485,44.325,PB,Pannonian Basin
0,41,20.457,44.37,PB,Pannonian Basin
0,42,20.371,44.386,PB,Pannonian Basin
0,43,20.264,44.369,PB,Pannonian Basin
0,44,20.152,44.356,PB,Pannonian Basin
0,45,20.138,44.356,PB,Pannonian Basin
0,46,20.075,44.372,PB,Pannonian Basin
0,47,19.906,44.388,PB,Pannonian Basin
0,48,19.831,44.366,PB,Pannonian Basin
0,49,19.748,44.394,PB,Pannonian Basin
0,50,19.67,44.426,PB,Pannonian Basin
0,51,19.655,44.433,PB,Pannonian Basin
0,52,19.638,44.46,PB,Pannonian Basin
0,53,19.612,44.525,PB,Pannonian Basin
0,54,19.516,44.521,PB,Pannonian Basin
0,55,19.509,44.515,PB,Pannonian Basin
0,56,19.472,44.506,PB,Pannonian Basin
0,57,19.35,44.482,PB,Pannonian Basin
0,58,19.271,44.486,PB,Pannonian Basin
0,59,19.22,44.515,PB,Pannonian Basin
0,60,19.207,44.53,PB,Pannonian Basin
0,61,19.111,44.49,PB,Pannonian Basin
0,62,19.03,44.447,PB,Pannonian Basin
0,63,18.97,44.404,PB,Pannonian Basin
0,64,18.891,44.39,PB,Pannonian Basin
0,65,18.807,44.397,PB,Pannonian Basin
0,66,18.706,44.407,PB,Pannonian Basin
0,67,18.632,44.428,PB,Pannonian Basin
0,68,18.608,44.437,PB,Pannonian Basin
0,69,18.552,44.461,PB,Pannonian Basin
0,70,18.502,44.492,PB,Pannonian Basin
0,71,18.374,44.57,PB,Pannonian Basin
0,72,18.253,44.628,PB,Pannonian Basin
0,73,18.163,44.66,PB,Pannonian Basin
0,74,18.077,44.695,PB,Pannonian Basin
0,75,18.021,44.721,PB,Pannonian Basin
0,76,17.964,44.744,PB,Pannonian Basin
0,77,17.845,44.779,PB,Pannonian Basin
0,78,17.726,44.789,PB,Pannonian Basin
0,79,17.583,44.831,PB,Pannonian Basin
0,80,17.515,44.858,PB,Pannonian Basin
0,81,17.494,44.869,PB,Pannonian Basin
0,82,17.341,44.912,PB,Pannonian Basin
0,83,17.307,44.925,PB,Pannonian Basin
0,84,17.202,44.961,PB,Pannonian Basin
0,85,17.134,44.982,PB,Pannonian Basin
0,86,17.102,45.022,PB,Pannonian Basin
0,87,17.102,45.093,PB,Pannonian Basin
0,88,17.14,45.135,PB,Pannonian Basin
0,89,17.093,45.165,PB,Pannonian Basin
0,90,17.035,45.153,PB,Pannonian Basin
0,91,16.96,45.128,PB,Pannonian Basin
0,92,16.919,45.107,PB,Pannonian Basin
0,93,16.809,45.083,PB,Pannonian Basin
0,94,16.778,45.095,PB,Pannonian Basin
0,95,16.639,45.141,PB,Pannonian Basin
0,96,16.609,45.15,PB,Pannonian Basin
