pkuid,vertex_index,xcoord,ycoord,code,name
0,0,12.994,43.808,POP,Po Plain
0,1,13.04,43.831,POP,Po Plain
0,2,13.003,43.868,POP,Po Plain
0,3,12.919,43.917,POP,Po Plain
0,4,12.879,43.932,POP,Po Plain
0,5,12.846,43.945,POP,Po Plain
0,6,12.713,43.982,POP,Po Plain
0,7,12.655,44.021,POP,Po Plain
0,8,12.616,44.054,POP,Po Plain
0,9,12.511,44.115,POP,Po Plain
0,10,12.463,44.152,POP,Po Plain
0,11,12.428,44.182,POP,Po Plain
0,12,12.378,44.271,POP,Po Plain
0,13,12.355,44.333,POP,Po Plain
0,14,12.293,44.463,POP,Po Plain
0,15,12.3,44.492,POP,Po Plain
0,16,12.304,44.579,POP,Po Plain
0,17,12.261,44.71,POP,Po Plain
0,18,12.267,44.753,POP,Po Plain
0,19,12.3,44.836,POP,Po Plain
0,20,12.346,44.822,POP,Po Plain
0,21,12.401,44.82,POP,Po Plain
0,22,12.492,44.852,POP,Po Plain
0,23,12.521,44.897,POP,Po Plain
0,24,12.537,44.978,POP,Po Plain
0,25,12.446,45.013,POP,Po Plain
0,26,12.342,45.056,POP,Po Plain
0,27,12.332,45.14,POP,Po Plain
0,28,12.295,45.203,POP,Po Plain
0,29,12.277,45.209,POP,Po Plain
0,30,12.222,45.238,POP,Po Plain
0,31,12.231,45.264,POP,Po Plain
0,32,12.236,45.299,POP,Po Plain
0,33,12.316,45.331,POP,Po Plain
0,34,12.42,45.402,POP,Po Plain
0,35,12.469,45.451,POP,Po Plain
0,36,12.517,45.459,POP,Po Plain
0,37,12.576,45.472,POP,Po Plain
0,38,12.705,45.521,POP,Po Plain
0,39,12.79,45.558,POP,Po Plain
0,40,12.87,45.594,POP,Po Plain
0,41,12.993,45.627,POP,Po Plain
0,42,13.057,45.63,POP,Po Plain
0,43,13.139,45.684,POP,Po Plain
0,44,13.139,45.702,POP,Po Plain
0,45,13.192,45.769,POP,Po Plain
0,46,13.269,45.75,POP,Po Plain
0,47,13.303,45.745,POP,Po Plain
0,48,13.38,45.73,POP,Po Plain
0,49,13.379,45.685,POP,Po Plain
0,50,13.447,45.681,POP,Po Plain
0,51,13.515,45.714,POP,Po Plain
0,52,13.559,45.779,POP,Po Plain
0,53,13.505,45.844,POP,Po Plain
0,54,13.477,45.867,POP,Po Plain
0,55,13.37,45.947,POP,Po Plain
0,56,13.425,46.043,POP,Po Plain
0,57,13.437,46.065,POP,Po Plain
0,58,13.427,46.091,POP,Po Plain
0,59,13.279,46.181,POP,Po Plain
0,60,13.137,46.271,POP,Po Plain
0,61,13.101,46.277,POP,Po Plain
0,62,12.983,46.198,POP,Po Plain
0,63,12.823,46.182,POP,Po Plain
0,64,12.668,46.149,POP,Po Plain
0,65,12.596,46.127,POP,Po Plain
0,66,12.474,46.002,POP,Po Plain
0,67,12.383,45.956,POP,Po Plain
0,68,12.278,45.956,POP,Po Plain
0,69,12.299,45.84,POP,Po Plain
0,70,12.183,45.808,POP,Po Plain
0,71,12.102,45.854,POP,Po Plain
0,72,12.045,45.864,POP,Po Plain
0,73,11.939,45.809,POP,Po Plain
0,74,11.851,45.803,POP,Po Plain
0,75,11.81,45.807,POP,Po Plain
0,76,11.735,45.794,POP,Po Plain
0,77,11.597,45.701,POP,Po Plain
0,78,11.518,45.712,POP,Po Plain
0,79,11.447,45.771,POP,Po Plain
0,80,11.428,45.778,POP,Po Plain
0,81,11.337,45.744,POP,Po Plain
0,82,11.395,45.69,POP,Po Plain
0,83,11.458,45.634,POP,Po Plain
0,84,11.492,45.597,POP,Po Plain
0,85,11.53,45.571,POP,Po Plain
0,86,11.623,45.5,POP,Po Plain
0,87,11.55,45.422,POP,Po Plain
0,88,11.504,45.406,POP,Po Plain
0,89,11.395,45.365,POP,Po Plain
0,90,11.336,45.411,POP,Po Plain
0,91,11.214,45.425,POP,Po Plain
0,92,11.153,45.434,POP,Po Plain
0,93,11.063,45.452,POP,Po Plain
0,94,10.946,45.5,POP,Po Plain
0,95,10.825,45.569,POP,Po Plain
0,96,10.814,45.611,POP,Po Plain
0,97,10.79,45.625,POP,Po Plain
0,98,10.657,45.575,POP,Po Plain
0,99,10.628,45.587,POP,Po Plain
0,100,10.579,45.615,POP,Po Plain
0,101,10.55,45.622,POP,Po Plain
0,102,10.431,45.573,POP,Po Plain
0,103,10.34,45.523,POP,Po Plain
0,104,10.267,45.544,POP,Po Plain
0,105,10.234,45.624,POP,Po Plain
0,106,10.224,45.656,POP,Po Plain
0,107,10.1,45.652,POP,Po Plain
0,108,10.02,45.658,POP,Po Plain
0,109,9.927,45.683,POP,Po Plain
0,110,9.731,45.712,POP,Po Plain
0,111,9.624,45.746,POP,Po Plain
0,112,9.491,45.695,POP,Po Plain
0,113,9.448,45.773,POP,Po Plain
0,114,9.423,45.799,POP,Po Plain
0,115,9.337,45.828,POP,Po Plain
0,116,9.265,45.854,POP,Po Plain
0,117,9.222,45.841,POP,Po Plain
0,118,9.096,45.788,POP,Po Plain
0,119,9.018,45.788,POP,Po Plain
0,120,8.894,45.812,POP,Po Plain
0,121,8.85,45.836,POP,Po Plain
0,122,8.843,45.848,POP,Po Plain
0,123,8.79,45.879,POP,Po Plain
0,124,8.692,45.903,POP,Po Plain
0,125,8.628,45.876,POP,Po Plain
0,126,8.459,45.923,POP,Po Plain
0,127,8.487,45.798,POP,Po Plain
0,128,8.44,45.768,POP,Po Plain
0,129,8.402,45.771,POP,Po Plain
0,130,8.373,45.777,POP,Po Plain
0,131,8.341,45.758,POP,Po Plain
0,132,8.403,45.702,POP,Po Plain
0,133,8.372,45.675,POP,Po Plain
0,134,8.26,45.608,POP,Po Plain
0,135,8.229,45.604,POP,Po Plain
0,136,8.128,45.572,POP,Po Plain
0,137,8.069,45.578,POP,Po Plain
0,138,7.895,45.544,POP,Po Plain
0,139,7.827,45.523,POP,Po Plain
0,140,7.775,45.425,POP,Po Plain
0,141,7.704,45.381,POP,Po Plain
0,142,7.675,45.367,POP,Po Plain
0,143,7.616,45.32,POP,Po Plain
0,144,7.559,45.32,POP,Po Plain
0,145,7.502,45.326,POP,Po Plain
0,146,7.493,45.172,POP,Po Plain
0,147,7.406,45.132,POP,Po Plain
0,148,7.38,45.125,POP,Po Plain
0,149,7.381,44.973,POP,Po Plain
0,150,7.347,44.913,POP,Po Plain
0,151,7.319,44.859,POP,Po Plain
0,152,7.313,44.784,POP,Po Plain
0,153,7.334,44.724,POP,Po Plain
0,154,7.351,44.686,POP,Po Plain
0,155,7.424,44.623,POP,Po Plain
0,156,7.503,44.618,POP,Po Plain
