pkuid,vertex_index,xcoord,ycoord,code,name
112,0,10.471,46.253,IL,Insubric Line
112,1,10.497,46.257,IL,Insubric Line
112,2,10.538,46.261,IL,Insubric Line
112,3,10.611,46.266,IL,Insubric Line
112,4,10.692,46.28,IL,Insubric Line
112,5,10.751,46.286,IL,Insubric Line
112,6,10.833,46.297,IL,Insubric Line
112,7,10.857,46.302,IL,Insubric Line
112,8,10.872,46.307,IL,Insubric Line
113,0,7.907,45.545,IL,Insubric Line
113,1,7.888,45.527,IL,Insubric Line
113,2,7.845,45.493,IL,Insubric Line
113,3,7.75,45.446,IL,Insubric Line
113,4,7.706,45.431,IL,Insubric Line
113,5,7.676,45.415,IL,Insubric Line
113,6,7.586,45.348,IL,Insubric Line
113,7,7.57,45.319,IL,Insubric Line
114,0,9.391,46.153,IL,Insubric Line
114,1,9.382,46.153,IL,Insubric Line
114,2,9.322,46.154,IL,Insubric Line
115,0,9.443,46.152,IL,Insubric Line
115,1,9.391,46.153,IL,Insubric Line
116,0,9.718,46.154,IL,Insubric Line
116,1,9.755,46.148,IL,Insubric Line
116,2,9.776,46.146,IL,Insubric Line
116,3,9.931,46.154,IL,Insubric Line
116,4,10.041,46.154,IL,Insubric Line
116,5,10.091,46.162,IL,Insubric Line
116,6,10.178,46.182,IL,Insubric Line
116,7,10.293,46.198,IL,Insubric Line
116,8,10.343,46.216,IL,Insubric Line
116,9,10.369,46.224,IL,Insubric Line
116,10,10.407,46.235,IL,Insubric Line
116,11,10.471,46.253,IL,Insubric Line
117,0,8.558,46.094,IL,Insubric Line
117,1,8.429,46.05,IL,Insubric Line
118,0,9.718,46.154,IL,Insubric Line
118,1,9.664,46.153,IL,Insubric Line
118,2,9.594,46.148,IL,Insubric Line
118,3,9.511,46.147,IL,Insubric Line
118,4,9.461,46.151,IL,Insubric Line
118,5,9.443,46.152,IL,Insubric Line
119,0,8.232,45.925,IL,Insubric Line
119,1,8.246,45.936,IL,Insubric Line
119,2,8.273,45.956,IL,Insubric Line
119,3,8.295,45.971,IL,Insubric Line
119,4,8.36,46.011,IL,Insubric Line
119,5,8.395,46.029,IL,Insubric Line
