pkuid,vertex_index,xcoord,ycoord
1,0,10.872,46.307
1,1,10.904,46.337
1,2,10.931,46.356
1,3,10.997,46.448
1,4,11.032,46.522
1,5,11.071,46.59
1,6,11.131,46.639
1,7,11.194,46.679
1,8,11.27,46.717
1,9,11.289,46.726
1,10,11.357,46.747
2,0,10.423,45.73
2,1,10.511,45.825
3,0,10.218,45.661
3,1,10.221,45.661
3,2,10.259,45.667
3,3,10.34,45.689
3,4,10.371,45.701
3,5,10.419,45.727
3,6,10.423,45.73
4,0,10.218,45.661
4,1,10.195,45.66
4,2,10.102,45.651
4,3,10.1,45.652
5,0,10.872,46.307
5,1,10.845,46.274
6,0,10.845,46.274
6,1,10.832,46.251
6,2,10.819,46.173
6,3,10.82,46.155
7,0,10.82,46.155
7,1,10.814,46.148
7,2,10.789,46.11
7,3,10.72,46.057
7,4,10.687,46.021
8,0,10.687,46.021
8,1,10.663,45.993
8,2,10.64,45.952
8,3,10.626,45.933
8,4,10.61,45.913
9,0,10.6,45.901
9,1,10.603,45.904
9,2,10.61,45.913
10,0,10.588,45.89
10,1,10.594,45.895
10,2,10.6,45.901
11,0,10.511,45.825
11,1,10.517,45.831
11,2,10.553,45.865
11,3,10.578,45.883
11,4,10.588,45.89
