pkuid,vertex_index,xcoord,ycoord
12,0,10.471,46.253
12,1,10.497,46.257
12,2,10.538,46.261
12,3,10.611,46.266
12,4,10.692,46.28
12,5,10.751,46.286
12,6,10.833,46.297
12,7,10.857,46.302
12,8,10.872,46.307
13,0,7.907,45.545
13,1,7.888,45.527
13,2,7.845,45.493
13,3,7.75,45.446
13,4,7.706,45.431
13,5,7.676,45.415
13,6,7.586,45.348
13,7,7.57,45.319
14,0,9.391,46.153
14,1,9.382,46.153
14,2,9.322,46.154
15,0,9.443,46.152
15,1,9.391,46.153
16,0,9.718,46.154
16,1,9.755,46.148
16,2,9.776,46.146
16,3,9.931,46.154
16,4,10.041,46.154
16,5,10.091,46.162
16,6,10.178,46.182
16,7,10.293,46.198
16,8,10.343,46.216
16,9,10.369,46.224
16,10,10.407,46.235
16,11,10.471,46.253
17,0,8.558,46.094
17,1,8.429,46.05
18,0,9.718,46.154
18,1,9.664,46.153
18,2,9.594,46.148
18,3,9.511,46.147
18,4,9.461,46.151
18,5,9.443,46.152
19,0,8.232,45.925
19,1,8.246,45.936
19,2,8.273,45.956
19,3,8.295,45.971
19,4,8.36,46.011
19,5,8.395,46.029
19,6,8.429,46.05
20,0,8.2,45.894
20,1,8.221,45.916
20,2,8.232,45.925
21,0,8.043,45.668
21,1,8.084,45.716
21,2,8.138,45.797
21,3,8.195,45.888
21,4,8.2,45.894
22,0,8.043,45.668
22,1,8.04,45.664
22,2,7.99,45.616
23,0,7.99,45.616
23,1,7.92,45.556
23,2,7.907,45.545
26,0,8.866,46.156
26,1,8.831,46.156
26,2,8.82,46.156
27,0,9.055,46.16
27,1,9.012,46.158
27,2,8.963,46.156
27,3,8.912,46.154
27,4,8.866,46.156
28,0,9.055,46.16
28,1,9.132,46.153
29,0,8.82,46.156
29,1,8.763,46.146
29,2,8.737,46.143
29,3,8.66,46.126
29,4,8.576,46.102
29,5,8.558,46.094
30,0,9.132,46.153
30,1,9.218,46.152
30,2,9.283,46.152
31,0,9.283,46.152
31,1,9.322,46.154
