pkuid,vertex_index,xcoord,ycoord
47,0,15.073,46.431
47,1,15.028,46.443
47,2,14.99,46.452
47,3,14.94,46.461
47,4,14.89,46.467
47,5,14.847,46.475
47,6,14.828,46.48
48,0,15.125,46.417
48,1,15.151,46.41
48,2,15.172,46.406
48,3,15.236,46.393
48,4,15.26,46.389
48,5,15.288,46.386
48,6,15.346,46.388
49,0,15.073,46.431
49,1,15.125,46.417
50,0,14.828,46.48
50,1,14.825,46.481
50,2,14.794,46.489
50,3,14.773,46.498
51,0,13.466,46.812
51,1,13.595,46.762
51,2,13.678,46.729
51,3,13.704,46.718
52,0,13.704,46.718
52,1,13.847,46.636
52,2,13.915,46.58
53,0,13.388,46.861
53,1,13.417,46.843
53,2,13.466,46.812
