pkuid,vertex_index,xcoord,ycoord
54,0,14.679,47.009
54,1,14.769,46.914
54,2,14.804,46.868
54,3,14.813,46.861
54,4,14.831,46.839
54,5,14.847,46.827
55,0,15.21,46.459
55,1,15.161,46.489
55,2,15.138,46.503
55,3,15.053,46.562
55,4,15.026,46.581
56,0,14.846,46.828
56,1,14.884,46.793
56,2,14.89,46.779
56,3,14.933,46.699
56,4,14.983,46.622
56,5,15.026,46.581
57,0,15.627,46.283
57,1,15.617,46.285
57,2,15.555,46.297
57,3,15.407,46.359
57,4,15.301,46.407
57,5,15.248,46.436
57,6,15.247,46.436
57,7,15.21,46.459
58,0,14.659,47.11
58,1,14.664,47.106
58,2,14.702,47.079
58,3,14.756,47.034
58,4,14.788,46.987
58,5,14.8,46.975
58,6,14.835,46.925
60,0,14.432,47.458
60,1,14.434,47.451
60,2,14.454,47.378
60,3,14.455,47.309
60,4,14.476,47.246
60,5,14.622,47.135
60,6,14.657,47.109
