pkuid,vertex_index,xcoord,ycoord
42,0,11.359,46.748
42,1,11.361,46.749
42,2,11.437,46.771
42,3,11.509,46.805
42,4,11.525,46.811
42,5,11.57,46.828
42,6,11.656,46.834
42,7,11.722,46.827
42,8,11.837,46.81
42,9,11.891,46.796
42,10,11.963,46.793
42,11,12.059,46.786
42,12,12.248,46.767
42,13,12.309,46.754
42,14,12.361,46.756
42,15,12.454,46.747
42,16,12.541,46.741
42,17,12.702,46.718
42,18,12.785,46.699
42,19,12.848,46.692
42,20,12.93,46.675
42,21,13.003,46.664
42,22,13.238,46.637
42,23,13.321,46.628
42,24,13.352,46.624
42,25,13.432,46.61
45,0,14.747,46.464
45,1,14.71,46.474
45,2,14.608,46.487
45,3,14.525,46.49
45,4,14.484,46.49
45,5,14.408,46.488
45,6,14.347,46.484
45,7,14.258,46.488
45,8,14.185,46.504
45,9,14.108,46.532
45,10,14.021,46.568
45,11,13.915,46.58
45,12,13.861,46.58
45,13,13.733,46.573
45,14,13.703,46.573
45,15,13.62,46.586
45,16,13.523,46.598
45,17,13.431,46.61
47,0,15.073,46.431
47,1,15.028,46.443
47,2,14.99,46.452
47,3,14.94,46.461
47,4,14.847,46.475
47,5,14.828,46.48
48,0,15.125,46.417
48,1,15.151,46.41
48,2,15.172,46.406
48,3,15.26,46.389
48,4,15.288,46.386
48,5,15.346,46.388
49,0,15.073,46.431
49,1,15.125,46.417
50,0,14.828,46.48
50,1,14.825,46.481
50,2,14.794,46.489
50,3,14.773,46.498
