pkuid,vertex_index,xcoord,ycoord,code,name
263,0,14.222,49.832,CBSZ,Central Bohemian Shear Zone
263,1,14.197,49.817,CBSZ,Central Bohemian Shear Zone
263,2,14.152,49.796,CBSZ,Central Bohemian Shear Zone
263,3,14.084,49.759,CBSZ,Central Bohemian Shear Zone
263,4,14.025,49.731,CBSZ,Central Bohemian Shear Zone
263,5,13.953,49.698,CBSZ,Central Bohemian Shear Zone
263,6,13.894,49.676,CBSZ,Central Bohemian Shear Zone
263,7,13.885,49.672,CBSZ,Central Bohemian Shear Zone
263,8,13.868,49.661,CBSZ,Central Bohemian Shear Zone
263,9,13.856,49.657,CBSZ,Central Bohemian Shear Zone
264,0,13.114,49.322,CBSZ,Central Bohemian Shear Zone
264,1,13.106,49.319,CBSZ,Central Bohemian Shear Zone
264,2,13.099,49.317,CBSZ,Central Bohemian Shear Zone
264,3,13.087,49.314,CBSZ,Central Bohemian Shear Zone
264,4,13.072,49.31,CBSZ,Central Bohemian Shear Zone
264,5,13.054,49.305,CBSZ,Central Bohemian Shear Zone
264,6,13.027,49.296,CBSZ,Central Bohemian Shear Zone
265,0,13.114,49.322,CBSZ,Central Bohemian Shear Zone
265,1,13.155,49.354,CBSZ,Central Bohemian Shear Zone
265,2,13.176,49.362,CBSZ,Central Bohemian Shear Zone
265,3,13.224,49.376,CBSZ,Central Bohemian Shear Zone
265,4,13.266,49.39,CBSZ,Central Bohemian Shear Zone
265,5,13.28,49.397,CBSZ,Central Bohemian Shear Zone
265,6,13.299,49.409,CBSZ,Central Bohemian Shear Zone
265,7,13.325,49.417,CBSZ,Central Bohemian Shear Zone
265,8,13.335,49.424,CBSZ,Central Bohemian Shear Zone
265,9,13.349,49.438,CBSZ,Central Bohemian Shear Zone
265,10,13.362,49.447,CBSZ,Central Bohemian Shear Zone
265,11,13.377,49.456,CBSZ,Central Bohemian Shear Zone
265,12,13.396,49.465,CBSZ,Central Bohemian Shear Zone
265,13,13.407,49.466,CBSZ,Central Bohemian Shear Zone
265,14,13.413,49.466,CBSZ,Central Bohemian Shear Zone
265,15,13.416,49.465,CBSZ,Central Bohemian Shear Zone
265,16,13.421,49.461,CBSZ,Central Bohemian Shear Zone
265,17,13.419,49.455,CBSZ,Central Bohemian Shear Zone
265,18,13.421,49.452,CBSZ,Central Bohemian Shear Zone
265,19,13.427,49.448,CBSZ,Central Bohemian Shear Zone
265,20,13.435,49.446,CBSZ,Central Bohemian Shear Zone
