pkuid,vertex_index,xcoord,ycoord
263,0,14.222,49.832
263,1,14.197,49.817
263,2,14.152,49.796
263,3,14.084,49.759
263,4,14.025,49.731
263,5,13.953,49.698
263,6,13.894,49.676
263,7,13.885,49.672
263,8,13.868,49.661
263,9,13.856,49.657
264,0,13.114,49.322
264,1,13.106,49.319
264,2,13.099,49.317
264,3,13.087,49.314
264,4,13.072,49.31
264,5,13.054,49.305
264,6,13.027,49.296
265,0,13.114,49.322
265,1,13.155,49.354
265,2,13.176,49.362
265,3,13.224,49.376
265,4,13.266,49.39
265,5,13.28,49.397
265,6,13.299,49.409
265,7,13.325,49.417
265,8,13.335,49.424
265,9,13.349,49.438
265,10,13.362,49.447
265,11,13.377,49.456
265,12,13.396,49.465
265,13,13.407,49.466
265,14,13.413,49.466
265,15,13.416,49.465
265,16,13.421,49.461
265,17,13.419,49.455
265,18,13.421,49.452
265,19,13.427,49.448
265,20,13.435,49.446
265,21,13.447,49.447
265,22,13.463,49.448
265,23,13.482,49.452
265,24,13.497,49.456
265,25,13.507,49.461
265,26,13.523,49.474
265,27,13.548,49.488
265,28,13.567,49.496
265,29,13.593,49.503
265,30,13.605,49.507
265,31,13.67,49.543
266,0,14.787,50.062
266,1,14.769,50.061
266,2,14.748,50.056
266,3,14.722,50.054
266,4,14.692,50.049
266,5,14.612,50.027
266,6,14.586,50.021
266,7,14.547,50.015
266,8,14.531,50.011
266,9,14.508,50.004
266,10,14.482,49.994
266,11,14.453,49.982
266,12,14.425,49.969
266,13,14.4,49.956
266,14,14.377,49.942
266,15,14.346,49.921
266,16,14.277,49.869
266,17,14.222,49.832
