pkuid,vertex_index,xcoord,ycoord
11,0,15.785,48.557
11,1,15.741,48.523
11,2,15.699,48.487
12,0,15.699,48.487
12,1,15.642,48.457
12,2,15.589,48.426
13,0,15.589,48.426
13,1,15.539,48.398
14,0,15.524,48.391
14,1,15.539,48.398
15,0,15.524,48.391
15,1,15.459,48.351
15,2,15.409,48.311
15,3,15.368,48.275
15,4,15.341,48.247
15,5,15.319,48.229
16,0,15.319,48.229
16,1,15.296,48.209
16,2,15.269,48.19
16,3,15.24,48.171
16,4,15.207,48.152
16,5,15.132,48.106
17,0,15.874,48.637
17,1,15.908,48.663
17,2,15.945,48.695
17,3,16.031,48.762
18,0,15.874,48.637
18,1,15.807,48.574
19,0,15.807,48.574
19,1,15.785,48.557
20,0,16.031,48.762
20,1,16.079,48.8
21,0,16.393,49.305
21,1,16.372,49.282
21,2,16.356,49.26
21,3,16.325,49.205
21,4,16.305,49.161
21,5,16.285,49.103
21,6,16.268,49.059
21,7,16.258,49.039
22,0,16.49,49.421
22,1,16.513,49.444
22,2,16.525,49.455
22,3,16.599,49.502
22,4,16.648,49.53
22,5,16.665,49.539
23,0,16.49,49.421
23,1,16.393,49.305
