pkuid,vertex_index,xcoord,ycoord
130,0,13.616,50.579
130,1,13.786,50.645
131,0,13.602,50.574
131,1,13.616,50.579
132,0,14.957,50.732
132,1,14.909,50.725
132,2,14.877,50.718
132,3,14.812,50.7
132,4,14.757,50.681
132,5,14.709,50.663
132,6,14.678,50.649
132,7,14.634,50.627
132,8,14.609,50.611
132,9,14.599,50.608
133,0,14.287,50.585
133,1,14.256,50.579
133,2,14.181,50.553
133,3,14.078,50.503
133,4,14.043,50.493
133,5,14.017,50.482
133,6,13.958,50.452
133,7,13.931,50.44
133,8,13.903,50.43
133,9,13.87,50.419
133,10,13.816,50.404
133,11,13.704,50.386
134,0,13.221,50.414
134,1,13.175,50.41
134,2,13.15,50.404
134,3,13.139,50.401
134,4,13.126,50.395
134,5,13.114,50.389
134,6,13.101,50.382
134,7,13.092,50.378
134,8,13.069,50.373
134,9,13.031,50.37
134,10,13.01,50.365
134,11,12.989,50.355
134,12,12.969,50.343
135,0,12.969,50.343
135,1,12.935,50.332
136,0,13.345,50.341
136,1,13.367,50.349
136,2,13.388,50.357
136,3,13.409,50.367
136,4,13.428,50.377
137,0,13.722,50.352
137,1,13.76,50.363
137,2,13.792,50.372
137,3,13.82,50.382
137,4,13.822,50.382
138,0,12.935,50.332
138,1,12.833,50.293
139,0,13.722,50.352
139,1,13.69,50.342
139,2,13.682,50.338
140,0,13.682,50.338
140,1,13.652,50.328
140,2,13.625,50.315
141,0,12.515,50.202
141,1,12.669,50.245
142,0,14.266,50.787
142,1,14.293,50.791
142,2,14.304,50.793
142,3,14.359,50.81
142,4,14.39,50.822
142,5,14.435,50.843
142,6,14.459,50.856
142,7,14.489,50.876
142,8,14.519,50.897
143,0,14.05,50.737
143,1,14.13,50.758
143,2,14.189,50.771
143,3,14.266,50.787
144,0,13.974,50.711
144,1,14.032,50.732
144,2,14.05,50.737
145,0,13.876,50.677
145,1,13.974,50.711
146,0,13.786,50.645
146,1,13.832,50.66
146,2,13.876,50.677
147,0,14.599,50.608
147,1,14.571,50.611
147,2,14.541,50.61
147,3,14.514,50.609
147,4,14.485,50.606
147,5,14.454,50.602
147,6,14.428,50.598
147,7,14.415,50.594
148,0,13.481,50.528
148,1,13.602,50.574
149,0,14.415,50.594
149,1,14.367,50.589
149,2,14.316,50.586
150,0,14.316,50.586
150,1,14.287,50.585
151,0,13.297,50.451
151,1,13.387,50.49
151,2,13.481,50.528
152,0,13.221,50.414
152,1,13.297,50.451
153,0,12.452,50.19
153,1,12.489,50.196
153,2,12.515,50.202
154,0,12.703,50.184
154,1,12.637,50.16
154,2,12.627,50.158
155,0,12.627,50.158
155,1,12.494,50.125
156,0,13.428,50.377
156,1,13.541,50.43
157,0,13.681,50.382
157,1,13.643,50.372
158,0,13.345,50.341
158,1,13.272,50.315
159,0,12.833,50.293
159,1,12.734,50.267
160,0,13.448,50.259
160,1,13.537,50.285
160,2,13.625,50.315
161,0,13.822,50.382
161,1,13.864,50.398
162,0,12.882,50.241
162,1,12.703,50.184
