pkuid,vertex_index,xcoord,ycoord
188,0,10.912,50.435
188,1,10.9,50.442
188,2,10.891,50.449
188,3,10.873,50.473
188,4,10.85,50.496
189,0,11.154,50.375
189,1,11.167,50.371
189,2,11.191,50.362
189,3,11.23,50.34
189,4,11.245,50.33
190,0,10.839,50.511
190,1,10.828,50.515
190,2,10.82,50.521
190,3,10.801,50.543
190,4,10.789,50.559
191,0,10.85,50.496
191,1,10.842,50.503
191,2,10.839,50.511
192,0,11.135,50.383
192,1,11.123,50.39
192,2,11.111,50.392
192,3,11.104,50.394
192,4,11.085,50.404
192,5,11.066,50.409
192,6,11.049,50.418
192,7,11.028,50.422
192,8,10.996,50.434
192,9,10.97,50.442
193,0,11.135,50.383
193,1,11.144,50.378
193,2,11.154,50.375
194,0,10.597,50.693
194,1,10.587,50.697
194,2,10.57,50.702
194,3,10.563,50.704
194,4,10.559,50.705
194,5,10.555,50.706
194,6,10.551,50.708
194,7,10.543,50.712
194,8,10.536,50.716
194,9,10.523,50.726
194,10,10.516,50.734
194,11,10.503,50.746
194,12,10.492,50.756
194,13,10.487,50.761
195,0,10.691,50.613
195,1,10.692,50.613
195,2,10.693,50.613
195,3,10.703,50.61
195,4,10.711,50.606
196,0,11.362,50.281
196,1,11.294,50.273
196,2,11.281,50.271
196,3,11.263,50.271
196,4,11.259,50.279
196,5,11.256,50.288
196,6,11.253,50.296
196,7,11.249,50.313
196,8,11.245,50.33
197,0,11.437,50.231
197,1,11.436,50.239
197,2,11.433,50.247
197,3,11.426,50.255
197,4,11.419,50.261
197,5,11.409,50.267
197,6,11.396,50.269
197,7,11.362,50.281
198,0,11.991,49.851
198,1,12.019,49.835
198,2,12.035,49.824
198,3,12.057,49.807
198,4,12.084,49.783
198,5,12.095,49.777
198,6,12.108,49.77
198,7,12.121,49.758
198,8,12.139,49.75
199,0,12.139,49.75
199,1,12.158,49.737
199,2,12.173,49.719
199,3,12.182,49.706
199,4,12.183,49.705
199,5,12.183,49.705
200,0,10.4,50.795
200,1,10.375,50.806
200,2,10.337,50.815
200,3,10.316,50.823
200,4,10.312,50.825
201,0,10.4,50.795
201,1,10.487,50.761
202,0,10.778,50.572
202,1,10.723,50.597
202,2,10.711,50.606
203,0,10.778,50.572
203,1,10.789,50.559
204,0,10.597,50.693
204,1,10.608,50.685
204,2,10.616,50.675
204,3,10.624,50.66
204,4,10.632,50.642
204,5,10.639,50.635
204,6,10.646,50.628
204,7,10.658,50.622
204,8,10.671,50.618
204,9,10.691,50.613
205,0,11.437,50.231
205,1,11.448,50.217
205,2,11.467,50.206
205,3,11.51,50.177
205,4,11.517,50.171
205,5,11.528,50.157
206,0,11.528,50.157
206,1,11.532,50.159
206,2,11.537,50.16
206,3,11.542,50.159
206,4,11.546,50.157
207,0,11.546,50.157
207,1,11.581,50.137
208,0,11.581,50.137
208,1,11.597,50.125
208,2,11.607,50.116
208,3,11.619,50.102
208,4,11.631,50.085
208,5,11.639,50.078
208,6,11.645,50.072
209,0,11.645,50.072
209,1,11.655,50.064
209,2,11.67,50.054
210,0,11.67,50.054
210,1,11.729,50.043
211,0,11.729,50.043
211,1,11.752,50.032
211,2,11.801,50.02
212,0,11.801,50.02
212,1,11.825,50.011
212,2,11.846,50.001
212,3,11.859,49.993
212,4,11.894,49.97
213,0,11.894,49.97
213,1,11.926,49.927
214,0,11.936,49.919
214,1,11.926,49.927
215,0,11.936,49.919
215,1,11.944,49.911
215,2,11.953,49.904
215,3,11.964,49.897
215,4,11.975,49.892
216,0,12.003,49.867
216,1,11.994,49.875
216,2,11.984,49.885
216,3,11.975,49.892
217,0,10.308,50.827
217,1,10.154,50.906
