pkuid,vertex_index,xcoord,ycoord
83,0,14.736,51.281
83,1,14.746,51.276
83,2,14.758,51.272
84,0,14.806,51.257
84,1,14.758,51.272
85,0,14.806,51.257
85,1,14.821,51.253
85,2,14.861,51.233
85,3,14.882,51.222
86,0,14.991,51.191
86,1,14.976,51.194
86,2,14.952,51.198
86,3,14.924,51.205
86,4,14.882,51.222
87,0,14.991,51.191
87,1,14.991,51.191
87,2,14.991,51.191
87,3,15.071,51.18
87,4,15.128,51.174
87,5,15.169,51.17
87,6,15.205,51.165
87,7,15.242,51.156
87,8,15.282,51.14
87,9,15.317,51.123
87,10,15.338,51.112
87,11,15.398,51.13
87,12,15.427,51.106
87,13,15.459,51.084
87,14,15.496,51.059
87,15,15.542,51.031
87,16,15.597,50.997
87,17,15.658,50.954
87,18,15.675,50.934
87,19,15.686,50.921
88,0,15.754,50.898
88,1,15.715,50.909
88,2,15.686,50.921
89,0,15.944,50.839
89,1,15.936,50.844
89,2,15.93,50.849
89,3,15.92,50.853
89,4,15.904,50.858
89,5,15.857,50.872
89,6,15.758,50.897
90,0,15.944,50.839
90,1,15.978,50.834
90,2,16.032,50.831
91,0,16.192,50.839
91,1,16.106,50.837
91,2,16.032,50.831
92,0,16.348,50.846
92,1,16.296,50.841
92,2,16.192,50.839
