pkuid,vertex_index,xcoord,ycoord
114,0,13.616,50.579
114,1,13.786,50.645
115,0,13.602,50.574
115,1,13.616,50.579
116,0,13.221,50.414
116,1,13.175,50.41
116,2,13.15,50.404
116,3,13.139,50.401
116,4,13.126,50.395
116,5,13.114,50.389
116,6,13.101,50.382
116,7,13.092,50.378
116,8,13.069,50.373
116,9,13.031,50.37
116,10,13.01,50.365
116,11,12.989,50.355
116,12,12.969,50.343
117,0,12.969,50.343
117,1,12.935,50.332
118,0,12.935,50.332
118,1,12.833,50.293
119,0,12.515,50.202
119,1,12.669,50.245
120,0,14.266,50.787
120,1,14.293,50.791
120,2,14.304,50.793
120,3,14.359,50.81
120,4,14.39,50.822
120,5,14.435,50.843
120,6,14.459,50.856
120,7,14.489,50.876
120,8,14.519,50.897
121,0,14.05,50.737
121,1,14.13,50.758
121,2,14.189,50.771
121,3,14.266,50.787
122,0,13.974,50.711
122,1,14.032,50.732
122,2,14.05,50.737
123,0,13.876,50.677
123,1,13.974,50.711
124,0,13.786,50.645
124,1,13.832,50.66
124,2,13.876,50.677
125,0,13.481,50.528
125,1,13.602,50.574
126,0,13.297,50.451
126,1,13.387,50.49
126,2,13.481,50.528
127,0,13.221,50.414
127,1,13.297,50.451
128,0,12.452,50.19
128,1,12.489,50.196
128,2,12.515,50.202
129,0,12.833,50.293
129,1,12.734,50.267
