pkuid,vertex_index,xcoord,ycoord
163,0,12.291,50.328
163,1,12.304,50.315
163,2,12.318,50.303
163,3,12.33,50.295
163,4,12.342,50.288
164,0,12.342,50.288
164,1,12.353,50.282
164,2,12.357,50.268
164,3,12.357,50.268
165,0,12.552,50.058
165,1,12.499,50.095
166,0,12.576,50.043
166,1,12.561,50.053
167,0,12.586,50.037
167,1,12.576,50.043
168,0,12.618,50.018
168,1,12.586,50.037
169,0,12.718,49.878
169,1,12.703,49.935
169,2,12.696,49.947
169,3,12.685,49.963
170,0,12.731,49.835
170,1,12.732,49.847
170,2,12.73,49.858
170,3,12.725,49.869
170,4,12.718,49.878
171,0,12.405,50.235
171,1,12.38,50.251
171,2,12.357,50.268
171,3,12.357,50.268
172,0,12.436,50.207
172,1,12.405,50.235
173,0,12.656,49.991
173,1,12.618,50.018
174,0,12.88,49.57
174,1,12.871,49.596
174,2,12.863,49.61
174,3,12.859,49.617
174,4,12.824,49.615
175,0,12.782,49.661
175,1,12.78,49.669
175,2,12.772,49.689
175,3,12.767,49.704
175,4,12.765,49.717
175,5,12.762,49.743
175,6,12.757,49.762
175,7,12.731,49.835
176,0,12.897,49.534
176,1,12.88,49.57
177,0,12.452,50.19
177,1,12.436,50.207
178,0,12.452,50.19
178,1,12.464,50.174
178,2,12.476,50.157
178,3,12.486,50.141
178,4,12.494,50.125
179,0,12.685,49.963
179,1,12.672,49.977
179,2,12.656,49.991
180,0,12.453,50.13
180,1,12.499,50.095
181,0,12.274,50.337
181,1,12.291,50.328
182,0,12.897,49.534
182,1,12.931,49.466
