pkuid,vertex_index,xcoord,ycoord
267,0,14.243,48.451
267,1,14.216,48.421
268,0,14.216,48.421
268,1,14.168,48.378
269,0,14.168,48.378
269,1,14.144,48.356
270,0,14.396,48.59
270,1,14.386,48.574
270,2,14.378,48.563
270,3,14.364,48.551
270,4,14.342,48.535
270,5,14.29,48.489
271,0,14.29,48.489
271,1,14.243,48.451
272,0,14.488,49.019
272,1,14.494,49.054
273,0,14.474,48.898
273,1,14.481,48.927
273,2,14.487,48.987
273,3,14.488,49.019
274,0,14.901,49.885
274,1,14.923,49.957
274,2,14.942,50.031
275,0,14.881,49.838
275,1,14.864,49.786
275,2,14.856,49.765
275,3,14.826,49.695
276,0,14.533,49.15
276,1,14.535,49.166
276,2,14.539,49.182
276,3,14.546,49.197
276,4,14.555,49.213
277,0,14.901,49.885
277,1,14.899,49.872
277,2,14.896,49.86
277,3,14.89,49.849
277,4,14.881,49.838
278,0,14.826,49.695
278,1,14.805,49.647
278,2,14.765,49.565
278,3,14.744,49.515
278,4,14.722,49.446
278,5,14.687,49.333
278,6,14.681,49.31
278,7,14.676,49.283
278,8,14.662,49.243
278,9,14.66,49.227
279,0,14.942,50.031
279,1,14.948,50.046
279,2,14.953,50.06
279,3,14.957,50.075
279,4,14.959,50.09
280,0,14.494,49.054
280,1,14.511,49.102
280,2,14.533,49.15
281,0,14.454,48.845
281,1,14.474,48.898
282,0,14.374,48.632
282,1,14.382,48.662
282,2,14.399,48.704
282,3,14.425,48.769
282,4,14.454,48.845
283,0,14.436,48.679
283,1,14.405,48.603
284,0,14.405,48.603
284,1,14.396,48.59
285,0,14.333,48.582
285,1,14.335,48.587
285,2,14.351,48.597
285,3,14.361,48.607
285,4,14.368,48.617
285,5,14.373,48.629
286,0,14.959,50.107
286,1,14.959,50.09
287,0,14.563,49.232
287,1,14.555,49.213
