pkuid,vertex_index,xcoord,ycoord
61,0,16.239,50.921
61,1,16.201,50.947
61,2,16.15,50.982
62,0,16.348,50.846
62,1,16.301,50.881
62,2,16.239,50.921
63,0,16.348,50.846
63,1,16.443,50.784
64,0,16.558,50.687
64,1,16.616,50.621
64,2,16.654,50.578
65,0,16.654,50.578
65,1,16.666,50.558
66,0,16.788,50.472
66,1,16.808,50.46
67,0,17.118,50.255
67,1,17.082,50.289
68,0,17.128,50.244
68,1,17.118,50.255
69,0,17.148,50.224
69,1,17.128,50.244
70,0,16.666,50.558
70,1,16.719,50.518
70,2,16.788,50.472
71,0,16.454,50.775
71,1,16.526,50.715
71,2,16.558,50.687
72,0,16.808,50.46
72,1,16.915,50.408
72,2,16.952,50.388
73,0,16.98,50.373
73,1,16.952,50.388
74,0,16.062,51.05
74,1,16.15,50.982
75,0,17.202,50.177
75,1,17.174,50.2
75,2,17.148,50.224
76,0,17.589,49.942
76,1,17.565,49.963
76,2,17.538,49.983
76,3,17.513,50
76,4,17.484,50.018
76,5,17.454,50.035
76,6,17.423,50.05
76,7,17.39,50.065
76,8,17.357,50.079
77,0,17.025,50.348
77,1,16.98,50.373
78,0,17.082,50.289
78,1,17.025,50.348
79,0,17.238,50.152
79,1,17.202,50.177
79,2,17.202,50.177
80,0,17.328,50.094
80,1,17.238,50.152
81,0,17.357,50.079
81,1,17.328,50.094
82,0,17.589,49.942
82,1,17.627,49.915
82,2,17.659,49.891
82,3,17.761,49.809
82,4,17.849,49.755
82,5,17.874,49.739
