pkuid,vertex_index,xcoord,ycoord
290,0,15.639,49.782
290,1,15.651,49.742
290,2,15.684,49.674
290,3,15.688,49.644
290,4,15.687,49.632
290,5,15.684,49.606
290,6,15.674,49.568
290,7,15.663,49.536
290,8,15.647,49.503
290,9,15.634,49.467
291,0,15.446,48.952
291,1,15.445,48.965
291,2,15.442,48.991
291,3,15.44,49.028
291,4,15.441,49.054
291,5,15.446,49.081
291,6,15.459,49.121
291,7,15.459,49.121
291,8,15.459,49.121
291,9,15.483,49.175
291,10,15.511,49.227
291,11,15.569,49.357
291,12,15.609,49.467
291,13,15.609,49.479
291,14,15.617,49.502
291,15,15.628,49.524
292,0,15.639,49.782
292,1,15.651,49.742
292,2,15.684,49.674
292,3,15.688,49.644
292,4,15.687,49.632
292,5,15.684,49.606
292,6,15.674,49.568
292,7,15.663,49.536
292,8,15.647,49.503
292,9,15.634,49.467
293,0,15.471,49.246
293,1,15.444,49.189
293,2,15.403,49.124
293,3,15.363,49.048
293,4,15.331,49.001
293,5,15.317,48.983
293,6,15.317,48.983
294,0,15.446,48.952
294,1,15.445,48.965
294,2,15.442,48.991
294,3,15.44,49.028
294,4,15.441,49.054
294,5,15.446,49.081
294,6,15.459,49.121
294,7,15.459,49.121
294,8,15.459,49.121
294,9,15.483,49.175
294,10,15.511,49.227
294,11,15.569,49.357
294,12,15.609,49.467
294,13,15.609,49.479
294,14,15.617,49.502
294,15,15.628,49.524
295,0,15.639,49.782
295,1,15.651,49.742
295,2,15.684,49.674
295,3,15.688,49.644
295,4,15.687,49.632
295,5,15.684,49.606
295,6,15.674,49.568
295,7,15.663,49.536
295,8,15.647,49.503
295,9,15.634,49.467
296,0,15.471,49.246
296,1,15.444,49.189
296,2,15.403,49.124
296,3,15.363,49.048
296,4,15.331,49.001
296,5,15.317,48.983
296,6,15.317,48.983
297,0,15.446,48.952
297,1,15.445,48.965
297,2,15.442,48.991
297,3,15.44,49.028
297,4,15.441,49.054
297,5,15.446,49.081
297,6,15.459,49.121
297,7,15.459,49.121
297,8,15.459,49.121
297,9,15.483,49.175
297,10,15.511,49.227
297,11,15.569,49.357
297,12,15.609,49.467
297,13,15.609,49.479
297,14,15.617,49.502
297,15,15.628,49.524
