pkuid,vertex_index,xcoord,ycoord
183,0,12.694,49.643
183,1,12.688,49.646
183,2,12.684,49.65
183,3,12.682,49.653
183,4,12.683,49.658
183,5,12.685,49.668
183,6,12.708,49.724
183,7,12.71,49.738
183,8,12.708,49.75
183,9,12.703,49.758
183,10,12.696,49.765
183,11,12.689,49.769
183,12,12.673,49.776
183,13,12.663,49.782
183,14,12.64,49.8
183,15,12.634,49.807
183,16,12.629,49.815
183,17,12.626,49.823
183,18,12.624,49.832
183,19,12.625,49.84
183,20,12.628,49.848
183,21,12.643,49.867
183,22,12.649,49.88
183,23,12.649,49.89
183,24,12.643,49.903
183,25,12.642,49.909
183,26,12.642,49.916
183,27,12.646,49.925
183,28,12.653,49.937
183,29,12.661,49.947
183,30,12.664,49.949
184,0,12.756,49.49
184,1,12.78,49.462
185,0,12.87,49.346
185,1,12.848,49.365
185,2,12.78,49.462
186,0,12.87,49.346
186,1,12.884,49.307
187,0,12.694,49.643
187,1,12.693,49.627
187,2,12.695,49.608
187,3,12.698,49.586
187,4,12.702,49.57
187,5,12.715,49.543
187,6,12.727,49.522
187,7,12.739,49.507
187,8,12.756,49.49
