id,vertex_index,xcoord,ycoord
7,0,13.681,50.394
7,1,13.696,50.402
7,2,13.705,50.411
7,3,13.709,50.418
7,4,13.723,50.445
7,5,13.738,50.451
7,6,13.746,50.456
7,7,13.753,50.462
7,8,13.759,50.471
7,9,13.792,50.51
7,10,13.832,50.52
7,11,13.886,50.536
7,12,13.925,50.525
7,13,13.948,50.526
7,14,13.961,50.53
7,15,13.97,50.534
7,16,13.975,50.538
7,17,13.994,50.554
7,18,14.001,50.557
7,19,14.012,50.558
7,20,14.031,50.555
7,21,14.042,50.556
7,22,14.05,50.561
7,23,14.102,50.585
7,24,14.119,50.585
7,25,14.133,50.58
7,26,14.141,50.578
7,27,14.151,50.577
7,28,14.16,50.578
7,29,14.168,50.58
7,30,14.193,50.593
7,31,14.204,50.597
7,32,14.221,50.598
7,33,14.253,50.59
7,34,14.268,50.588
7,35,14.287,50.585
7,36,14.316,50.586
7,37,14.331,50.606
7,38,14.34,50.612
7,39,14.356,50.62
7,40,14.372,50.62
7,41,14.381,50.622
7,42,14.389,50.627
7,43,14.395,50.634
7,44,14.398,50.642
7,45,14.399,50.647
7,46,14.398,50.655
7,47,14.391,50.698
7,48,14.405,50.706
7,49,14.42,50.71
7,50,14.438,50.709
7,51,14.458,50.705
7,52,14.47,50.703
7,53,14.482,50.704
7,54,14.49,50.706
7,55,14.495,50.71
7,56,14.497,50.713
7,57,14.526,50.759
7,58,14.545,50.769
7,59,14.553,50.776
7,60,14.556,50.78
7,61,14.557,50.784
7,62,14.556,50.789
7,63,14.554,50.791
7,64,14.549,50.791
7,65,14.543,50.79
7,66,14.481,50.768
7,67,14.463,50.764
7,68,14.439,50.763
7,69,14.427,50.76
7,70,14.406,50.751
7,71,14.376,50.734
7,72,14.356,50.728
7,73,14.344,50.731
7,74,14.339,50.75
7,75,14.336,50.754
7,76,14.331,50.758
7,77,14.323,50.761
7,78,14.315,50.761
7,79,14.306,50.761
7,80,14.296,50.759
7,81,14.279,50.752
7,82,14.265,50.744
7,83,14.251,50.73
7,84,14.247,50.724
7,85,14.226,50.699
7,86,14.214,50.695
7,87,14.194,50.698
7,88,14.186,50.702
7,89,14.17,50.713
7,90,14.16,50.717
7,91,14.152,50.72
7,92,14.144,50.72
7,93,14.127,50.719
7,94,14.088,50.715
7,95,14.08,50.713
7,96,14.066,50.707
7,97,14.037,50.689
7,98,14.026,50.679
7,99,14.015,50.664
7,100,14.007,50.63
7,101,13.998,50.626
7,102,13.983,50.621
7,103,13.952,50.621
7,104,13.93,50.627
7,105,13.913,50.628
7,106,13.881,50.619
7,107,13.859,50.606
7,108,13.827,50.585
7,109,13.69,50.503
7,110,13.67,50.502
7,111,13.653,50.499
7,112,13.633,50.494
7,113,13.625,50.486
7,114,13.619,50.479
7,115,13.618,50.475
7,116,13.621,50.467
7,117,13.634,50.435
7,118,13.629,50.421
7,119,13.629,50.416
7,120,13.631,50.412
7,121,13.639,50.406
7,122,13.653,50.4
7,123,13.666,50.396
7,124,13.681,50.394
