id,vertex_index,xcoord,ycoord
10,0,2.614,44.744
10,1,2.63,44.745
10,2,2.687,44.807
10,3,2.735,44.846
10,4,2.776,44.898
10,5,2.855,44.909
10,6,2.867,44.903
10,7,2.884,44.905
10,8,2.9,44.909
10,9,2.967,44.927
10,10,2.975,44.926
10,11,2.998,44.933
10,12,3.01,44.941
10,13,3.02,44.951
10,14,3.027,44.964
10,15,3.028,44.978
10,16,3.018,45.02
10,17,3.047,45.076
10,18,3.056,45.073
10,19,3.066,45.075
10,20,3.07,45.08
10,21,3.071,45.086
10,22,3.033,45.141
10,23,3.007,45.191
10,24,3.06,45.255
10,25,3.08,45.257
10,26,3.1,45.26
10,27,3.109,45.263
10,28,3.118,45.267
10,29,3.127,45.271
10,30,3.132,45.276
10,31,3.134,45.283
10,32,3.131,45.293
10,33,3.121,45.3
10,34,3.02,45.332
10,35,3.013,45.34
10,36,3.006,45.403
10,37,3.034,45.41
10,38,3.048,45.418
10,39,3.102,45.47
10,40,3.113,45.475
10,41,3.117,45.496
10,42,3.115,45.514
10,43,3.106,45.527
10,44,3.024,45.56
10,45,2.986,45.598
10,46,2.983,45.609
10,47,2.964,45.642
10,48,2.96,45.663
10,49,2.931,45.692
10,50,2.898,45.723
10,51,2.892,45.728
10,52,2.811,45.711
10,53,2.805,45.716
10,54,2.797,45.719
10,55,2.778,45.715
10,56,2.769,45.707
10,57,2.762,45.699
10,58,2.717,45.652
10,59,2.689,45.615
10,60,2.657,45.592
10,61,2.611,45.597
10,62,2.6,45.596
10,63,2.59,45.593
10,64,2.587,45.589
10,65,2.589,45.531
10,66,2.569,45.512
10,67,2.569,45.503
10,68,2.574,45.496
10,69,2.593,45.486
10,70,2.639,45.5
10,71,2.685,45.5
10,72,2.749,45.474
10,73,2.764,45.432
10,74,2.773,45.423
10,75,2.844,45.314
10,76,2.808,45.284
10,77,2.769,45.271
10,78,2.737,45.273
10,79,2.715,45.235
10,80,2.671,45.22
10,81,2.667,45.226
10,82,2.651,45.243
10,83,2.637,45.25
10,84,2.618,45.257
10,85,2.563,45.264
10,86,2.514,45.294
10,87,2.502,45.302
10,88,2.488,45.309
10,89,2.48,45.31
10,90,2.472,45.309
10,91,2.451,45.286
10,92,2.447,45.28
10,93,2.423,45.234
10,94,2.39,45.236
10,95,2.337,45.268
10,96,2.316,45.291
10,97,2.308,45.289
10,98,2.303,45.284
10,99,2.3,45.278
10,100,2.297,45.272
10,101,2.284,45.234
10,102,2.257,45.187
10,103,2.229,45.187
10,104,2.2,45.186
10,105,2.181,45.183
10,106,2.175,45.175
10,107,2.164,45.128
10,108,2.143,45.105
10,109,2.143,45.093
10,110,2.16,45.097
10,111,2.179,45.106
10,112,2.246,45.145
10,113,2.294,45.14
10,114,2.302,45.133
10,115,2.31,45.126
10,116,2.321,45.122
10,117,2.334,45.122
10,118,2.384,45.104
10,119,2.382,45.099
10,120,2.386,45.089
10,121,2.393,45.085
10,122,2.404,45.04
10,123,2.396,45.03
10,124,2.387,45.016
10,125,2.418,44.963
10,126,2.417,44.952
10,127,2.422,44.938
10,128,2.427,44.935
10,129,2.482,44.932
10,130,2.5,44.922
10,131,2.571,44.909
10,132,2.578,44.896
10,133,2.634,44.884
10,134,2.65,44.831
10,135,2.626,44.792
10,136,2.616,44.768
10,137,2.614,44.744
