pkuid,vertex_index,xcoord,ycoord
6,1,13.428,50.377
6,2,13.409,50.367
6,3,13.388,50.357
6,4,13.367,50.349
6,5,13.345,50.341
6,6,13.342,50.332
6,7,13.343,50.321
6,8,13.345,50.313
6,9,13.349,50.306
6,10,13.358,50.301
6,11,13.382,50.292
6,12,13.405,50.28
6,13,13.41,50.277
6,14,13.413,50.272
6,15,13.415,50.265
6,16,13.415,50.26
6,17,13.405,50.239
6,18,13.399,50.22
6,19,13.384,50.205
6,20,13.377,50.201
6,21,13.37,50.197
6,22,13.351,50.19
6,23,13.322,50.184
6,24,13.31,50.179
6,25,13.29,50.165
6,26,13.275,50.153
6,27,13.271,50.147
6,28,13.27,50.138
6,29,13.27,50.126
6,30,13.26,50.122
6,31,13.242,50.12
6,32,13.204,50.125
6,33,13.187,50.129
6,34,13.147,50.142
6,35,13.118,50.167
6,36,13.105,50.173
6,37,13.093,50.175
6,38,13.078,50.177
6,39,13.065,50.182
6,40,13.044,50.2
6,41,13.038,50.203
6,42,13.032,50.205
6,43,13.019,50.207
6,44,13,50.208
6,45,12.993,50.209
6,46,12.981,50.215
6,47,12.976,50.221
6,48,12.98,50.229
6,49,12.99,50.247
6,50,12.969,50.343
6,51,12.989,50.355
6,52,13.01,50.365
6,53,13.031,50.37
6,54,13.069,50.373
6,55,13.092,50.378
6,56,13.101,50.382
6,57,13.114,50.389
6,58,13.126,50.395
6,59,13.139,50.401
6,60,13.15,50.404
6,61,13.175,50.41
6,62,13.221,50.414
6,63,13.31,50.417
6,64,13.324,50.416
6,65,13.34,50.414
6,66,13.351,50.411
6,67,13.359,50.408
6,68,13.397,50.386
6,69,13.404,50.383
6,70,13.415,50.379
