pkuid,vertex_index,xcoord,ycoord
8,245,9.041,50.374
8,246,9.004,50.344
8,247,8.976,50.324
8,248,8.97,50.317
8,249,8.965,50.321
8,250,8.959,50.329
8,251,8.963,50.343
8,252,8.968,50.358
8,253,8.969,50.364
8,254,8.968,50.365
8,255,8.952,50.373
8,256,8.938,50.377
8,257,8.937,50.379
8,258,8.935,50.425
8,259,8.937,50.433
8,260,8.944,50.446
8,261,8.947,50.455
8,262,8.948,50.465
8,263,8.945,50.475
8,264,8.941,50.478
8,265,8.934,50.481
8,266,8.926,50.481
8,267,8.915,50.48
8,268,8.909,50.478
8,269,8.875,50.462
8,270,8.85,50.442
8,271,8.835,50.425
8,272,8.826,50.411
8,273,8.821,50.384
8,274,8.811,50.39
8,275,8.803,50.405
8,276,8.795,50.411
8,277,8.805,50.422
8,278,8.816,50.439
8,279,8.82,50.453
8,280,8.82,50.462
8,281,8.815,50.468
8,282,8.806,50.472
8,283,8.799,50.474
8,284,8.79,50.473
8,285,8.784,50.473
8,286,8.778,50.475
8,287,8.774,50.477
8,288,8.773,50.48
8,289,8.774,50.484
8,290,8.782,50.493
8,291,8.786,50.499
8,292,8.786,50.505
8,293,8.782,50.51
8,294,8.775,50.512
8,295,8.764,50.514
8,296,8.756,50.515
8,297,8.751,50.515
8,298,8.745,50.516
8,299,8.737,50.52
8,300,8.743,50.527
8,301,8.759,50.545
8,302,8.773,50.57
8,303,8.791,50.6
8,304,8.808,50.621
8,305,8.826,50.637
8,306,8.855,50.653
8,307,8.88,50.673
8,308,8.888,50.686
8,309,8.886,50.69
8,310,8.881,50.694
8,311,8.874,50.695
8,312,8.865,50.696
8,313,8.852,50.695
8,314,8.836,50.692
8,315,8.824,50.688
8,316,8.811,50.681
8,317,8.816,50.693
8,318,8.823,50.724
8,319,8.833,50.727
8,320,8.859,50.743
8,321,8.884,50.755
8,322,8.908,50.763
8,323,8.926,50.766
8,324,8.937,50.765
8,325,8.947,50.762
8,326,8.952,50.758
8,327,8.957,50.751
8,328,8.963,50.746
8,329,8.972,50.741
8,330,8.981,50.737
8,331,8.988,50.735
8,332,8.996,50.735
8,333,9.005,50.735
8,334,9.015,50.737
8,335,9.034,50.742
8,336,9.048,50.753
8,337,9.053,50.758
8,338,9.057,50.764
8,339,9.059,50.771
8,340,9.06,50.778
8,341,9.082,50.776
8,342,9.115,50.777
8,343,9.125,50.776
8,344,9.141,50.774
8,345,9.159,50.767
8,346,9.165,50.766
8,347,9.171,50.767
8,348,9.179,50.771
8,349,9.182,50.774
8,350,9.183,50.776
8,351,9.169,50.804
8,352,9.168,50.816
8,353,9.172,50.827
8,354,9.181,50.836
8,355,9.193,50.844
8,356,9.192,50.838
8,357,9.194,50.832
8,358,9.197,50.827
8,359,9.201,50.823
8,360,9.209,50.819
8,361,9.219,50.815
8,362,9.227,50.813
8,363,9.246,50.812
8,364,9.253,50.809
8,365,9.26,50.806
8,366,9.268,50.8
8,367,9.274,50.794
8,368,9.277,50.79
8,369,9.279,50.782
8,370,9.281,50.778
8,371,9.287,50.773
8,372,9.294,50.768
8,373,9.301,50.765
8,374,9.309,50.763
8,375,9.331,50.762
8,376,9.346,50.76
8,377,9.354,50.758
8,378,9.36,50.754
8,379,9.367,50.747
8,380,9.373,50.739
8,381,9.383,50.717
8,382,9.409,50.687
8,383,9.433,50.657
8,384,9.438,50.649
8,385,9.441,50.642
8,386,9.443,50.615
8,387,9.451,50.592
8,388,9.455,50.585
8,389,9.46,50.58
8,390,9.464,50.576
8,391,9.471,50.573
8,392,9.477,50.565
8,393,9.489,50.558
8,394,9.494,50.552
8,395,9.498,50.543
8,396,9.499,50.524
8,397,9.503,50.51
8,398,9.512,50.492
8,399,9.52,50.484
8,400,9.523,50.478
8,401,9.525,50.459
8,402,9.521,50.434
8,403,9.521,50.428
8,404,9.524,50.415
8,405,9.52,50.399
8,406,9.522,50.388
8,407,9.521,50.383
8,408,9.514,50.371
8,409,9.508,50.365
8,410,9.504,50.363
8,411,9.436,50.357
8,412,9.428,50.356
8,413,9.419,50.352
8,414,9.406,50.352
8,415,9.399,50.35
8,416,9.39,50.346
8,417,9.377,50.337
8,418,9.37,50.335
8,419,9.362,50.335
8,420,9.342,50.337
8,421,9.331,50.337
8,422,9.327,50.336
8,423,9.323,50.333
8,424,9.315,50.32
8,425,9.307,50.299
8,426,9.301,50.29
8,427,9.295,50.285
8,428,9.288,50.282
8,429,9.281,50.28
8,430,9.272,50.279
8,431,9.257,50.28
8,432,9.247,50.282
8,433,9.242,50.283
8,434,9.228,50.289
8,435,9.216,50.296
8,436,9.21,50.304
8,437,9.206,50.321
8,438,9.193,50.341
8,439,9.19,50.351
8,440,9.187,50.356
8,441,9.176,50.365
8,442,9.162,50.375
8,443,9.147,50.384
8,444,9.133,50.391
8,445,9.123,50.395
8,446,9.109,50.397
8,447,9.098,50.397
8,448,9.085,50.396
8,449,9.07,50.391
