pkuid,vertex_index,xcoord,ycoord
9,450,8.216,50.675
9,451,8.236,50.662
9,452,8.24,50.661
9,453,8.254,50.655
9,454,8.265,50.652
9,455,8.275,50.649
9,456,8.283,50.645
9,457,8.287,50.638
9,458,8.288,50.634
9,459,8.287,50.626
9,460,8.283,50.619
9,461,8.281,50.612
9,462,8.283,50.605
9,463,8.286,50.597
9,464,8.29,50.588
9,465,8.298,50.58
9,466,8.301,50.573
9,467,8.301,50.566
9,468,8.287,50.56
9,469,8.252,50.57
9,470,8.234,50.572
9,471,8.225,50.573
9,472,8.212,50.571
9,473,8.206,50.568
9,474,8.202,50.563
9,475,8.2,50.555
9,476,8.204,50.545
9,477,8.211,50.535
9,478,8.217,50.525
9,479,8.242,50.51
9,480,8.252,50.501
9,481,8.255,50.492
9,482,8.253,50.483
9,483,8.245,50.478
9,484,8.232,50.465
9,485,8.227,50.458
9,486,8.216,50.454
9,487,8.202,50.452
9,488,8.188,50.452
9,489,8.171,50.454
9,490,8.149,50.458
9,491,8.158,50.462
9,492,8.189,50.473
9,493,8.2,50.48
9,494,8.202,50.487
9,495,8.197,50.493
9,496,8.187,50.494
9,497,8.174,50.492
9,498,8.161,50.488
9,499,8.149,50.488
9,500,8.138,50.491
9,501,8.131,50.496
9,502,8.128,50.504
9,503,8.125,50.512
9,504,8.123,50.522
9,505,8.116,50.531
9,506,8.107,50.537
9,507,8.097,50.539
9,508,8.087,50.54
9,509,8.066,50.543
9,510,8.059,50.542
9,511,8.044,50.537
9,512,8.03,50.532
9,513,8.017,50.526
9,514,8.007,50.519
9,515,8.001,50.513
9,516,7.997,50.503
9,517,7.995,50.493
9,518,7.997,50.477
9,519,7.991,50.463
9,520,7.985,50.453
9,521,7.978,50.445
9,522,7.975,50.443
9,523,7.962,50.439
9,524,7.947,50.441
9,525,7.914,50.462
9,526,7.906,50.462
9,527,7.9,50.464
9,528,7.894,50.467
9,529,7.888,50.471
9,530,7.882,50.479
9,531,7.879,50.488
9,532,7.88,50.496
9,533,7.885,50.507
9,534,7.886,50.514
9,535,7.885,50.524
9,536,7.88,50.533
9,537,7.873,50.539
9,538,7.851,50.55
9,539,7.822,50.567
9,540,7.803,50.581
9,541,7.794,50.583
9,542,7.786,50.602
9,543,7.784,50.617
9,544,7.791,50.624
9,545,7.8,50.629
9,546,7.83,50.64
9,547,7.838,50.644
9,548,7.849,50.652
9,549,7.857,50.656
9,550,7.865,50.659
9,551,7.874,50.661
9,552,7.879,50.661
9,553,7.883,50.66
9,554,7.891,50.655
9,555,7.892,50.649
9,556,7.89,50.643
9,557,7.89,50.64
9,558,7.891,50.637
9,559,7.895,50.633
9,560,7.9,50.631
9,561,7.907,50.63
9,562,7.913,50.63
9,563,7.919,50.632
9,564,7.933,50.643
9,565,7.949,50.659
9,566,7.953,50.667
9,567,7.954,50.68
9,568,7.958,50.689
9,569,7.965,50.7
9,570,7.974,50.71
9,571,7.981,50.714
9,572,7.995,50.719
9,573,8.03,50.728
9,574,8.035,50.73
9,575,8.045,50.737
9,576,8.056,50.74
9,577,8.077,50.741
9,578,8.099,50.739
9,579,8.138,50.73
9,580,8.176,50.718
9,581,8.188,50.712
9,582,8.194,50.707
9,583,8.2,50.7
9,584,8.205,50.688
9,585,8.211,50.68
