net.sta,lon,lat,alt
CH.AIGLE,6.953,46.342,785.0
CH.BALST,7.695,47.336,860.0
CH.BERNI,10.023,46.414,2311.0
CH.BNALP,8.425,46.87,1549.0
CH.BOURR,7.23,47.394,846.8
CH.DAVOX,9.88,46.78,1830.0
CH.DIX,7.408,46.081,2370.2
CH.EMV,6.899,46.063,2130.0
CH.FUORN,10.264,46.62,2286.0
CH.FUSIO,8.663,46.455,1460.0
CH.GIMEL,6.265,46.534,1094.0
CH.HASLI,8.151,46.757,1281.0
CH.LKBD,7.627,46.387,1550.0
CH.LLS,9.008,46.847,1860.0
CH.MMK,7.964,46.051,2200.0
CH.MUGIO,9.042,45.922,924.0
CH.MUO,8.637,46.968,1907.0
CH.PLONS,9.381,47.049,1022.0
CH.SENIN,7.299,46.363,2019.6
CH.SLE,8.492,47.764,648.0
CH.SULZ,8.112,47.528,668.0
CH.TORNY,6.959,46.774,710.0
CH.VDL,9.45,46.483,1927.0
CH.WILA,8.908,47.415,853.0
CH.WIMIS,7.624,46.665,770.0
CH.ZUR,8.581,47.369,510.0
CZ.DPC,16.322,50.35,748.0
CZ.KHC,13.578,49.131,700.0
CZ.NKC,12.448,50.233,564.0
CZ.OKC,18.14,49.835,272.0
CZ.PRU,14.542,49.988,302.0
G.ECH,7.159,48.216,580.0
GE.HLG,7.883,54.183,37.0
GE.IBBN,7.759,52.306,140.0
GE.KWP,22.708,49.63,463.0
GE.PSZ,19.894,47.918,940.0
GE.RGN,13.321,54.548,15.0
GE.RUE,13.78,52.476,40.0
GE.STU,9.195,48.772,360.0
GE.WLF,6.153,49.665,295.0
GR.BFO,8.33,48.33,751.3
GR.BRG,13.944,50.873,296.0
GR.BSEG,10.316,53.936,40.0
GR.BUG,7.271,51.441,65.0
GR.CLL,13.002,51.308,238.0
GR.CLZ,10.374,51.843,680.0
GR.FUR,11.277,48.164,565.0
GR.GEC2,13.701,48.844,1150.0
GR.GRA1,11.22,49.691,499.5
GR.GRB1,11.651,49.39,494.0
GR.GRC1,11.52,48.995,512.0
GR.MOX,11.616,50.646,455.0
GR.TNS,8.449,50.224,815.0
GR.WET,12.88,49.145,613.0
HU.PSZ,19.893,47.918,937.0
NL.HGN,5.932,50.764,135.0
NL.WIT,6.67,52.814,17.0
NL.WTSB,6.799,51.966,43.0
OE.MOA,14.266,47.85,572.0
OE.OBKA,14.549,46.509,1074.7
ZO.IGI,12.164,45.804,100.0
ZO.IMA,11.893,46.681,1250.0
ZO.IMO,11.971,46.455,1482.0
ZO.ISO,12.078,46.145,350.0
ZO.ITO,11.963,46.389,1480.0
ZO.ITV,12.174,45.968,250.0
ZV.B02,13.996,49.699,466.0
ZV.B09,13.293,50.042,534.0
ZV.B10,13.432,50.607,660.0
ZV.B18,13.37,50.252,364.0
ZV.B19,13.173,49.274,570.0
ZV.B20,12.996,49.713,468.0
ZV.B21,13.136,50.49,718.0
ZV.B22,12.69,50.333,765.0
ZV.B23,12.536,50.15,534.0
ZV.BG01,12.837,50.709,490.0
ZV.BG02,12.752,50.454,890.0
ZV.BG03,10.914,50.66,535.0
ZV.BG04,13.125,50.923,350.0
ZV.BG05,11.7,50.453,435.0
ZV.BG06,11.036,50.427,550.0
ZV.BG07,12.177,50.646,380.0
ZV.BG10,11.973,50.459,600.0
ZV.BG14,13.05,50.653,460.0
ZV.BG15,11.382,50.115,370.0
ZV.BG16,11.74,49.847,540.0
ZV.BG17,12.198,49.31,470.0
ZV.BG18,11.743,50.194,615.0
ZV.BG19,11.693,50.341,590.0
ZV.BG20,12.68,50.885,300.0
ZV.BG21,12.548,50.058,460.0
ZV.BG22,12.613,49.942,665.0
ZV.BG23,12.878,49.967,660.0
ZV.BG24,12.761,50.027,745.0
ZV.BG25,12.607,50.283,660.0
ZV.BG26,12.458,50.134,430.0
ZV.BG27,12.252,50.253,525.0
ZV.BG29,12.022,50.117,580.0
ZV.HSK,13.432,50.607,590.0
